,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Adhere to female chastity,-0.329176884,-1.734263449,-0.837830921,-1.600062163,-0.213131111,-0.71775676,-1.058312751,0.819095469,-0.621287619,-1.002096282,0.183233565,-0.654972552,-0.074316818,-1.106151785,-0.899708149,-1.542237221,-2.967664169,-1.649145864,-0.126123645,-1.721223312,0.233970458,0.941356556,-1.135639038,-1.11533955,0.925926844,-0.631289899,-0.804546208,-0.275588538,-1.751845013,-0.655955527,0.251875688,-1.64505957,-1.387890356,-0.49901655,0.385164016,-1.233759902,-0.859977834,-1.160286715,-1.308149745,-1.403887973
Adhere to principle,0.34295676,0.080568927,-0.987608678,0.732292387,0.0234922,1.223563191,-0.89708262,-0.81984017,-0.137615298,0.981360994,-0.815526524,1.074412065,-0.470549939,0.487209611,-0.813436663,0.129484862,1.857195627,-1.468880089,0.553460936,-0.464257952,1.058702609,0.340464134,1.001416572,-0.017314227,1.30824257,-0.589274035,-0.149419948,0.651020207,-0.162033393,0.386508423,-0.378735623,-0.700501778,0.575010537,0.076928334,0.048721927,-0.111007929,1.53887124,1.098293057,1.611262055,-0.238063151
Adopt orphans,1.763574425,-0.370881913,1.320533622,1.221205197,1.379861969,-0.041768236,1.200168692,0.092375987,-0.239799591,0.588101621,-0.043687197,-0.011449617,1.233325455,-0.136043996,3.135715006,1.269295372,-1.419842791,1.032482211,0.138691004,1.740075389,0.236912928,-1.55659611,-1.669902941,0.249811011,-1.273815134,1.193561306,0.899518165,1.291222612,1.84459332,1.705639738,1.094711958,1.432370658,-0.326623156,0.830950884,-0.23295052,0.090793896,0.654537164,-2.103248917,0.494318277,-0.225095133
Advocate for equal right,1.588344052,1.164050942,1.393187011,0.056363749,0.622854675,-0.181088288,1.49897627,1.0580274,-1.281322459,0.511833136,0.93311835,1.999652081,0.492668699,-0.23239238,0.107123069,1.322661763,0.55079378,1.353109967,0.112103188,0.392294798,1.142773165,-0.411591463,0.059714739,1.484679438,-0.745991183,0.808100445,0.62348182,-0.099626473,0.672692028,1.815243077,0.060536358,0.061238378,-1.366211732,-0.834850707,0.503396895,0.393156901,-0.130711862,-0.151898218,0.473375581,0.710763502
Aid disaster areas,1.087685844,0.923277161,1.18454138,0.163229937,1.15978356,0.170074582,1.185473238,-0.20915153,1.631308352,0.600813035,0.336229271,0.128446673,-0.215151058,0.65883017,3.161332019,1.628522864,-0.146542342,0.862464103,0.849471955,1.399518271,0.327288775,-0.434153131,-0.563023569,1.709627007,0.566435937,1.060447981,0.296327633,0.821366461,2.969555977,2.230308977,0.992978723,0.994926896,0.72938862,1.63934149,1.247568545,1.143288938,-1.022477317,1.751412195,0.678148607,2.191999339
Appreciate fine art and music,-2.126539849,-1.869698701,-2.138885467,-0.157368627,-1.170238065,-1.278853954,-1.617579768,-1.975568423,-1.634955805,-2.529372686,-0.316918319,-1.811448553,-0.488063006,-1.751083779,0.296193147,-2.218954908,-1.24992228,1.34689926,-2.251021911,-1.850015822,-0.548726415,-0.179958339,-1.50776315,-2.57749875,-1.864407338,-0.917452005,-2.615344634,-3.072262203,-0.94637801,-1.561836855,-1.52838855,-0.599470978,0.036986497,1.265717077,-1.768065356,-1.150593089,-2.227351532,-0.048497219,-2.218458924,-1.440198423
Serve as an honest official,-0.163959675,0.110665649,-0.001758068,1.022434087,1.281529063,1.806289982,-0.307584954,1.579657281,-0.207100618,1.772169844,0.275854284,1.002465402,-0.375687498,1.04542806,0.46873612,0.705841875,0.336002485,0.201023793,0.109976162,0.210664335,1.095133184,1.413396786,2.321571157,0.875446438,1.916904423,0.104555515,1.676100417,1.483283334,0.242108268,-0.660625019,-0.592173297,0.04840907,-0.093085249,-0.030559987,1.280256459,1.07045003,0.798705912,0.124447813,0.747026807,-0.075962926
Attend to small needs,0.275506974,-0.190301577,1.065315305,0.697560876,-1.082831037,-0.594849756,0.743210031,0.557262715,0.832000104,0.683437227,0.974283114,-0.019591729,0.594828251,0.634743074,-0.071369662,0.156566313,0.801481702,0.700985718,1.395408447,0.018025966,-0.066161426,-1.243364953,-0.125587879,0.647374597,0.988695097,1.247185157,1.138749665,0.06510397,0.391060208,0.891721449,1.246301216,0.54590112,0.308954693,0.961968986,-1.054495157,0.757351441,0.688391223,0.909563358,0.076240016,-0.153771034
Dedicate oneself to one's job,-0.125019592,-1.093203257,-1.339077212,2.407419882,-0.182538652,1.406778601,-1.00344972,-0.949611506,-0.936166625,0.295739097,0.871371204,-0.07880709,-1.579710795,1.778880131,0.702098839,-0.047341088,0.524312661,1.620170374,-0.029698499,1.338974784,-0.874920171,1.806972548,0.971039093,-0.196178788,-0.534046431,-1.584154195,1.703090638,0.664123765,1.436227182,0.071966295,-1.739670288,0.19665885,3.38994706,-1.098669471,2.040424322,-1.036442562,1.494282967,0.48863894,1.038052713,-0.05002689
Evaluate facts without bias,0.111402339,0.477845666,-0.534922174,0.363604039,0.401995846,-0.008369594,-0.109826121,1.535127901,-0.280673308,2.046736388,0.396261219,1.640658955,-0.912025149,-0.461219791,-0.255646879,0.351712068,-0.106820664,-0.336978713,0.202501762,-0.501409637,0.935749422,-0.464235355,0.330264157,-0.551564704,0.537904913,-0.26563832,0.301439417,0.709986218,-9.51E-05,0.310629188,0.29432068,-0.179311145,1.181026626,0.86303695,-0.702404599,-0.245542479,0.988949209,0.130624422,0.473375581,0.397369732
