,Perpetrator Capacity,Aggressiveness,Anger,Autonomy violation,Betrayal,Callousness,Challenge authority,Coldness,Contempt,Vice Investment,Deception,Deliberateness,Lust,Disgust,Disrupt social order,Fairness violation,Guilt,Harm to life,Harm to others,Harm to property,Harm to society,Harm to the environment,Harm to the self,Hate,Hedonism,Impulsivity,Injustice,Irresponsibility,Norm violation,Oppression,Perceived harm,Psychological harm,Self-indulgence,Selfish,Sense of dirtiness,Sexual relevance,Shame,Premeditation,Risk,Unjust-gain
Abuse,19.6666666666667,93.0,77.6666666666667,64.1666666666667,68.8333333333333,92.5,23.5,89.8333333333333,65.6666666666667,37.3333333333333,31.0,65.8333333333333,45.6666666666667,68.1666666666667,58.6666666666667,69.1666666666667,70.8333333333333,55.8333333333333,81.8333333333333,32.6666666666667,57.5,19.5,64.3333333333333,92.6666666666667,46.1666666666667,59.0,71.0,85.5,78.8333333333333,95.3333333333333,42.0,95.3333333333333,46.0,16.1666666666667,52.5,46.1666666666667,66.8333333333333,54.6666666666667,54.5,4.16666666666667
Arson,67.0,68.0,80.6666666666667,83.5,49.1666666666667,61.1666666666667,65.6666666666667,83.6666666666667,66.0,70.0,54.1666666666667,88.3333333333333,43.6666666666667,60.1666666666667,65.1666666666667,88.1666666666667,68.5,74.8333333333333,73.6666666666667,91.8333333333333,58.6666666666667,63.1666666666667,40.0,68.4,46.6666666666667,62.6,63.5,87.6,90.6,54.6666666666667,82.8333333333333,62.8333333333333,49.3333333333333,65.3333333333333,71.0,19.0,46.3333333333333,63.1666666666667,91.5,40.0
Be arrogant,39.6666666666667,47.3333333333333,43.0,13.6666666666667,34.3333333333333,51.6666666666667,55.1666666666667,59.1666666666667,57.1666666666667,40.5,39.5,45.0,44.3333333333333,47.1666666666667,53.5,38.8333333333333,27.5,24.8333333333333,41.5,30.1666666666667,40.0,39.3333333333333,32.3333333333333,36.0,34.3333333333333,36.0,36.8333333333333,43.5,46.0,33.1666666666667,22.5,53.8333333333333,65.8333333333333,54.0,37.8333333333333,41.5,45.0,29.3333333333333,40.0,25.6666666666667
Be jealous,24.6666666666667,40.6666666666667,60.5,45.6666666666667,61.0,63.5,25.6666666666667,35.6666666666667,44.5,30.0,38.8333333333333,55.8333333333333,45.8333333333333,47.5,20.5,63.0,52.6666666666667,19.1666666666667,58.6666666666667,20.8333333333333,47.3333333333333,18.8333333333333,36.3333333333333,81.8333333333333,26.1666666666667,46.6666666666667,34.1666666666667,16.6666666666667,40.8333333333333,47.6666666666667,44.6666666666667,54.0,63.3333333333333,49.5,15.6666666666667,22.8333333333333,49.0,22.8333333333333,32.8333333333333,23.3333333333333
Be lazy,8.33333333333333,3.5,30.6666666666667,27.8333333333333,16.8333333333333,32.0,10.6666666666667,12.6666666666667,25.6666666666667,17.5,6.5,59.0,42.5,62.5,9.33333333333333,33.5,40.1666666666667,6.16666666666667,9.5,17.8333333333333,34.3333333333333,37.0,60.1666666666667,37.0,50.0,23.3333333333333,16.5,34.3333333333333,32.0,7.66666666666667,49.3333333333333,10.5,75.1666666666667,36.8333333333333,80.8333333333333,6.66666666666667,44.0,2.16666666666667,6.5,10.8333333333333
Be rude,16.0,45.5,77.6666666666667,21.0,14.8333333333333,50.5,28.8333333333333,61.8333333333333,50.8333333333333,18.5,21.1666666666667,24.1666666666667,30.0,56.3333333333333,30.1666666666667,31.3333333333333,43.5,15.3333333333333,36.3333333333333,8.33333333333333,46.8333333333333,11.8333333333333,21.6666666666667,35.0,13.8333333333333,55.3333333333333,62.0,47.3333333333333,46.0,36.0,27.8333333333333,38.6666666666667,25.1666666666667,42.8333333333333,33.5,14.1666666666667,34.6666666666667,8.16666666666667,26.5,16.8333333333333
Be tardy,12.8333333333333,20.1666666666667,36.6666666666667,8.83333333333333,38.5,44.6666666666667,19.1666666666667,21.5,26.5,6.0,8.5,24.3333333333333,33.5,24.0,35.5,18.5,23.1666666666667,23.3333333333333,33.6666666666667,19.1666666666667,4.83333333333333,0.666666666666667,25.8333333333333,16.6,20.6666666666667,33.6,24.5,43.4,37.2,8.33333333333333,14.6666666666667,12.1666666666667,52.3333333333333,56.6666666666667,13.1666666666667,8.5,16.8333333333333,2.83333333333333,27.0,8.33333333333333
Bestiality,60.3333333333333,76.8333333333333,72.8333333333333,76.6666666666667,61.1666666666667,78.6666666666667,52.6666666666667,76.5,63.0,29.0,67.8333333333333,98.1666666666667,60.8333333333333,89.8333333333333,54.1666666666667,72.6666666666667,77.5,71.0,73.5,45.1666666666667,55.1666666666667,58.0,73.5,60.8,83.8333333333333,73.8,83.1666666666667,66.2,90.8,47.3333333333333,84.8333333333333,82.1666666666667,78.5,68.3333333333333,95.0,96.8333333333333,97.5,61.1666666666667,72.5,18.5
Binge eating,9.83333333333333,2.33333333333333,32.6666666666667,17.5,21.5,5.33333333333333,10.6666666666667,8.83333333333333,34.3333333333333,48.3333333333333,34.3333333333333,52.6666666666667,91.5,56.6666666666667,5.5,8.5,61.3333333333333,44.8333333333333,6.16666666666667,3.33333333333333,7.0,5.33333333333333,77.8333333333333,17.6666666666667,41.3333333333333,65.1666666666667,28.5,50.0,17.1666666666667,20.1666666666667,21.8333333333333,51.6666666666667,79.5,49.8333333333333,49.5,9.66666666666667,58.5,20.6666666666667,50.1666666666667,3.0
Bribe,20.1666666666667,56.5,59.6666666666667,43.6666666666667,66.3333333333333,70.3333333333333,43.0,39.3333333333333,82.5,92.6666666666667,89.8333333333333,82.3333333333333,65.1666666666667,47.6666666666667,65.3333333333333,86.5,66.6666666666667,22.5,52.5,50.6666666666667,72.0,8.83333333333333,42.6666666666667,50.25,51.0,28.25,62.75,50.75,78.5,45.8333333333333,47.75,29.3333333333333,41.1666666666667,89.1666666666667,42.5,11.8333333333333,73.6666666666667,63.0,84.1666666666667,68.0
