,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Serve the country loyally,1.339999395,1.159443798,0.012382812,2.688678012,1.932576391,1.523932129,1.384591938,0.053967788,1.468596509,0.557366745,1.569927817,1.459427414,2.104863508,2.486102297,1.334139064,1.954988514,1.529829804,1.414153548,1.920270678,1.545473332,1.656385608,0.694470659,-0.687023832,1.56086762,-1.615309829,0.808260221,1.409676323,1.675658491,1.456170734,1.288066809,1.181304041,0.533313545,2.113430787,1.311856868,0.975466824,0.446285817,-0.551527192,1.886000325,1.167658995,1.913030801
Share food,0.328508164,-1.936596261,-0.049419348,-1.062182724,-0.798675782,-1.338879643,-0.843136151,-0.568469068,0.183228535,-1.680191563,-0.785571125,-1.063862793,-0.198110369,-1.800192073,0.766862347,-0.833080545,-1.25738458,-0.274259746,-1.771395904,-0.448049962,-0.687456095,-1.503146799,-1.325521575,-1.365958291,-0.648232094,-0.211739711,-1.623518252,-1.250719056,1.636824318,-0.600505797,-0.6844806,-0.284218684,-0.937644099,0.265999763,-1.315695494,0.03717116,-1.388395255,-0.962645385,-1.649524884,-0.931271872
Share joys and sorrows,0.599469229,-1.174188109,0.681314131,0.344269373,0.777890763,0.292795911,1.000297417,-0.088955892,0.669442937,-0.635474079,-0.020001661,0.16944563,1.144286271,0.973785753,0.897454274,0.728657616,-0.090290096,0.023509513,-0.252201414,1.186030807,0.481831226,0.468135903,0.946426222,0.034215612,0.389106047,0.64747243,-0.171017279,-0.008849623,0.566411303,0.598229853,0.438424123,0.176787228,0.039687555,-0.011336933,0.532087802,-0.485413944,0.306567423,0.268916955,-0.64780359,-0.151718213
Speak frankly,-0.713527518,0.801443449,-1.218412295,-0.72871677,0.732776329,-1.239880124,-1.600246724,-0.298971951,-0.840489075,0.849154131,0.746922646,0.512847038,-1.448066522,-0.326462855,-0.773194944,-1.067637337,-1.137814732,-1.225674488,-0.562511194,-0.675340375,-1.638160426,-1.004590243,-0.841847532,-0.92393496,-1.643536717,-1.449702525,-1.64368025,-0.952504984,-0.751436486,-0.662406335,-0.81761679,-0.435364938,-0.93195858,-0.708832024,2.0543319,-1.127852478,-0.37647589,-1.568816154,-0.780816482,-0.107813821
Spend time with family,-0.142111333,1.205851251,1.840269814,-0.633567032,-1.65857001,0.651730299,0.163187732,-0.525793632,-0.554863483,0.911600348,-0.784728478,-0.754517159,1.918745872,0.658631949,0.255968176,-0.685118143,-0.438473845,0.070427222,-0.128927665,0.52048239,-1.438619884,-1.404313161,-0.630892162,-0.671981662,-1.366460072,1.115253847,-0.573315399,-1.191520233,-0.583112253,-0.439514476,1.143345043,0.552711879,-0.765011057,2.431714173,-0.673272807,-1.118101179,-0.128486547,-0.413344217,-0.516767535,-0.675809638
Sponsor child education,1.708294982,-0.822817396,1.288818044,0.397221793,0.642547463,-0.640433497,1.421926903,1.568620518,1.653662271,-0.551549219,-0.039360509,0.537870489,1.577601055,-0.039143537,2.761231452,1.235158935,0.419943307,1.343680985,-0.236397087,1.598498055,0.74353827,-0.462006926,-0.052726732,1.260396999,-0.043501696,0.942877747,-0.045644307,0.948681671,1.916412107,0.809312257,1.475486275,0.679832873,1.312012533,0.57809127,-0.310539264,0.399851059,-0.798706112,0.920132856,-0.206309985,1.036783811
Step up to help,0.850113398,-0.060409244,0.240087348,1.111826764,2.263009132,-0.507601574,0.346106512,-0.24963932,0.970608834,-0.632574099,1.026119642,1.191734039,0.081723062,0.444884963,0.427368211,0.975214059,-0.500022979,-0.461197493,-0.14765192,1.168718724,0.249751395,-0.503863353,-0.480292185,0.829036512,-0.890308342,0.289058223,0.346723972,1.058035053,0.775198576,1.63839676,0.607723604,-0.457565494,1.717751868,0.090295769,0.478781286,-0.343899347,-1.016027355,0.023532655,-0.379815833,1.414582971
Stop bullying,1.328838922,0.092072386,1.382578736,0.877634685,2.347141453,0.139528308,1.20342555,1.433308158,1.591230447,0.116278384,3.647453607,2.046637389,0.586628984,0.863085588,-0.089502073,0.912552386,0.9224459,0.045502189,-0.319778535,1.061910916,0.955866627,0.044920916,0.257820808,0.906778334,0.425923727,1.111423267,1.076360953,1.530597882,0.81687478,2.10556279,0.806775261,1.353959355,1.717105786,0.588394899,1.403684527,0.091059919,-0.032856669,1.206398426,1.590023003,1.678321786
Take the initiative to clean,-0.528582547,-0.597409768,-0.06947176,0.150019043,-0.593831869,-0.474223296,0.080928398,-0.230188168,-0.076591122,-1.106007202,-0.238853812,-0.532460316,-0.968782692,-0.57738323,-0.722806676,-0.622571975,-0.457503529,1.113717884,-0.829331827,-0.31154467,-0.703257275,-0.434102641,0.258720946,-0.557687058,-0.014967994,0.025180223,-0.984560842,-0.073437695,-0.26585598,-1.222007175,-0.849502348,0.229956628,0.238778459,0.305045095,-0.915997154,0.710963938,0.823875891,-0.813075049,-0.37891341,-0.140673083
Take the less share,-1.117536617,-1.996262986,-0.972550926,-1.960066317,-1.389796788,-1.55867674,-0.965307496,-0.893218732,-0.374591593,-1.482171321,-1.809387069,-2.008633645,-1.056199239,-1.750668315,-0.879493482,-0.406293911,-0.760551247,-1.739753291,-1.977216425,-1.767073304,-1.074585006,-1.245187188,-0.713427874,-1.067592543,-1.274132659,0.035030285,0.201290742,-1.064982748,-0.488090509,-1.712843505,-0.958444673,-0.527816569,-1.106271434,-1.521788372,-2.480310925,-1.364321483,-2.134282708,-0.9754657,-1.731392692,-2.318772746
Treat disabled people kindly,1.574369314,0.59592473,1.66386081,0.327258751,0.305530454,0.059829154,1.687556,0.653852584,1.825349785,0.237701585,0.409817085,0.662987744,0.947347842,-0.070121361,0.377567261,0.71284357,0.791795226,0.933456485,0.467712917,0.376047657,0.329086486,-0.833443962,-0.274160629,0.663665502,-0.176965787,1.448514307,0.292365646,0.804178988,-0.223839563,1.37049389,1.320487034,0.395736712,0.068089815,0.609002158,-1.139238611,-0.177100809,-0.462380696,0.305963088,0.253775301,0.137065918
Uphold academic integrity,-1.07484781,1.205851251,-1.291337277,0.258461759,-0.745026185,1.879967095,-0.336794778,1.764541539,-0.977741537,2.246063006,-0.108293705,0.164818673,-2.09615472,0.514585067,-0.483591824,-0.826258508,0.774272059,-1.15206775,-0.332517367,-0.662329145,-0.690089625,1.512996348,0.808405093,0.2253257,1.191424662,-1.128508391,0.548807225,0.166121531,-0.484018148,-0.986370169,-1.086983329,-1.082526361,-0.438788233,-0.691831036,0.590375311,-0.521443561,0.838854239,0.12769771,0.790874864,-0.635028947
Bravely help defend justice,1.325118765,0.343998558,0.674164623,1.521294675,2.789750622,-0.132947432,0.642176974,0.46075057,1.630250337,0.111941841,1.690640325,1.807442637,0.511269892,1.223202792,0.627207768,1.61921435,-0.101886309,0.663435296,1.67674391,2.086671316,2.042197753,0.379772335,-0.003219153,1.595598025,-0.899512762,1.057795147,0.818158906,1.495448581,0.215070399,1.86844379,0.262063641,1.320253031,1.291553278,1.989688478,0.001998775,-0.45745066,-0.170628527,1.331314311,0.245773818,2.304212494
Use eco-friendly package,0.288289,-0.166483422,-0.024648721,0.981344607,-0.582858088,0.578895438,-0.224519861,-0.566777664,0.194318398,0.471109628,0.88881777,0.286337183,-0.690707639,0.186584578,1.106356482,0.692059394,-0.128944141,0.215945428,-0.085438518,0.553802529,-0.392171543,-0.071346937,0.271322875,0.494439904,-0.209181257,0.274328872,1.305290897,0.723082887,0.882618116,1.464411612,-0.382160097,1.604349192,0.80654858,0.926899425,0.326514654,2.990637408,1.520771302,0.439757798,0.373091537,0.643531156
Use the Internet ethically,-0.233627207,-0.42503923,-1.145487313,-1.743647306,-1.120573359,-0.443861713,-0.506026219,-0.812031316,-1.354771221,-0.221971961,-0.226147232,-0.82737956,-1.069117941,-0.662572246,-0.842450052,-1.641416128,1.16817519,-0.868415684,-0.611613602,-1.270024166,-1.047497268,-1.029394051,0.609517504,-0.750809156,1.311520429,-0.872817176,-0.303846354,-0.902514866,-1.015687432,-0.976984209,-0.096648889,-0.422845446,-1.294496583,-0.988060377,-0.334216388,-0.233983387,0.339937769,-0.88073782,0.789874679,-0.469265705
Value collective interest,1.018577791,-0.33885396,-0.053696151,0.466251995,0.133851746,1.055273856,0.862392064,1.064300076,0.506867714,0.047761007,0.588153932,0.468688006,0.457011345,1.291741228,1.240437593,0.426722285,0.630994396,-0.043293241,0.478367213,0.61125841,0.134205266,0.381942668,-0.067729028,0.344671999,0.819566092,0.238434084,0.332269599,0.597579205,1.185649645,0.623964239,0.249220847,1.617350203,1.482642721,0.365321326,0.264341311,0.665167658,0.772298275,0.832691737,0.897094554,0.789948163
Value mental health,0.522096207,-0.06703888,1.253595774,-0.009896482,-0.470025108,-0.111201772,1.109170064,-1.072247393,-0.146826923,-0.53544206,-0.562871595,-0.248580829,-0.497382582,-0.107737291,0.288409938,-0.138662152,-0.590711317,0.118942018,0.276464993,-0.212987848,-1.110441529,-0.717438456,-1.212519661,0.002735379,-0.766048671,0.310832046,-0.002722408,-0.824963233,-1.121051679,1.242336716,0.241818842,0.075182691,-0.65909057,-0.536172637,-0.351805109,-0.969393866,-0.83285964,0.039029738,-0.545229954,0.052123608
Value relationship,-0.114050717,0.025776025,0.534763807,-0.201795113,0.217182807,-0.984920682,0.712562564,-0.763705473,0.585632148,0.663302293,-0.860205562,-0.371595273,-0.061459214,0.355270544,0.324648076,-0.326300655,-0.545855633,-0.468576614,0.222862634,0.025623403,-0.144572696,-0.65733692,-1.365642002,-0.03041637,-0.865982375,0.241881606,0.468077169,0.149174547,-0.527650582,-0.078754854,1.02187625,-0.277701887,-0.090907825,0.821698505,0.177885983,-0.238046428,-0.348342645,0.668070445,-0.380628013,0.006858298
Value science,-0.344115883,-1.021706479,-0.819408464,0.844052424,-0.044712472,0.248318254,-0.433192434,-0.449871764,-0.188466719,0.820532948,0.115850362,0.299779712,-0.100468627,0.918845671,1.059246902,0.696329187,0.339224565,1.237230324,1.995909563,0.407920126,0.295934991,1.63847444,0.074881038,0.662928797,0.866923735,-0.93717092,0.632253432,0.966646869,0.261223818,0.446124989,-0.213119748,0.910961952,0.635629555,0.89853414,0.976075664,1.433082468,1.162516801,1.29644196,1.289567307,1.068078346
Volunteer,1.496246007,-0.173113058,1.684696519,1.521294675,0.176771423,0.052563134,1.314818397,0.550113108,1.384425032,0.849154131,0.970177252,0.861703384,1.039788329,0.925041236,1.082197723,1.139145081,0.490809057,2.091431971,1.250572066,1.239428466,0.961133687,0.798646655,0.613975329,1.573496858,0.677204395,1.643873888,1.015331378,1.249403471,1.653971099,1.330974057,1.767770559,1.854739028,1.798942807,1.840285854,0.901729494,1.387170101,0.826191384,1.58635091,0.985911018,0.606483949
Yield to pedestrian when driving,0.902978793,0.012516753,0.532883893,-0.280069555,-0.100534282,0.653826267,1.064522728,0.947029364,0.024273826,-1.671974956,-1.131056341,0.299256776,0.70935665,-1.216912255,-1.346393282,-0.316424944,1.433231503,-0.844911815,0.264866822,-0.509204333,0.447971555,-0.338430807,0.851268797,0.567312171,1.290481754,0.441474985,0.604678936,-0.333137295,-0.639410851,1.346365992,-0.243956439,-0.088063083,-1.174110018,0.222073764,-0.974744906,-1.26385744,0.623159173,-0.420247463,1.291651904,0.380627993
