,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Keep promises,0.256038518,0.934036171,0.052565966,-0.009146878,-0.144239384,1.117035024,0.419926822,0.338123744,-0.310501424,2.480236321,0.101841358,-0.216052972,-1.05893957,0.845660562,0.435950928,-0.195447488,0.31276618,-0.591254511,0.365802258,-0.512548713,0.338184135,0.543392914,1.232833702,-0.363117859,1.248882557,-0.055467167,0.469586142,0.095822929,0.605338278,-0.226107376,0.427580688,-0.437892912,-0.088934969,0.310840886,0.595702664,-0.343177623,0.756798941,0.525867094,0.507322302,-0.516207508
Keep quiet in library,0.109997863,0.582665458,0.217058407,-1.340561988,-1.127889213,0.292795911,0.861580294,-0.368037635,-0.58936528,-1.059837693,-0.212571254,-0.352669974,-1.037359466,-1.488375818,-1.048859096,-1.418866121,0.632540558,-1.612340459,-0.217867876,-1.816379016,-1.587135782,-0.010887654,0.946426222,-0.559847322,2.004481768,-0.647216174,-0.129158462,-1.565212805,-1.372435735,-1.472854117,-0.101310521,-0.941111858,-1.367934541,-1.486159507,-0.252468002,-0.035963584,0.838134455,-0.908405593,1.249959965,-0.516207508
Lead teams effectively,-0.288034509,-1.724447905,-0.259969672,1.890349724,-0.832119686,-0.323193886,0.174112799,-0.464085248,-0.468531977,0.270225656,-0.383470572,-0.050456604,-1.206917425,0.092028186,-0.519829962,-0.921312224,-1.28801331,0.349276027,-0.0406823,0.513220309,-2.085860527,0.974399358,-0.810128391,-0.126911642,-0.923838729,-0.891491253,-0.882453669,0.095822929,-0.336395081,-0.497312232,0.268152897,2.346490222,0.422034931,-0.286125634,1.298913252,-0.786557007,0.164177348,0.274083513,0.28678142,0.355149712
Learn from history,-0.65214492,0.32410965,-1.529645701,-0.145574811,-0.936631886,-0.724122474,-1.826138565,-0.705714462,-0.964572325,-0.403022626,0.957391256,-0.381649339,-2.175820047,-0.060440791,0.028271875,-0.009660681,-0.400074661,-0.935920981,-0.009414257,-0.893807996,-1.809339876,-0.200238158,-1.504520405,-0.23051086,0.154393335,-1.326740906,-0.48106685,-0.52807717,-0.448384994,-0.248337282,-0.220094714,0.499263279,0.067578334,-0.674443661,0.24409737,0.461304559,0.341963826,-1.34201575,-0.725906304,0.434364004
Listen attentively,-1.212958655,-1.174188109,0.111166398,-0.874939529,-1.223970763,-1.269852456,0.410287057,-0.577489892,-1.539627948,-0.207878196,-0.368460925,-1.366947723,-0.165957156,-0.63546665,-0.583246704,-1.258320851,-0.354426074,-0.410158569,0.011431105,-0.798493175,-1.319503296,0.009885536,0.225115801,-1.04272873,0.436662217,-0.322650123,-1.030333023,-1.345298426,-0.249857421,-0.719611294,-0.020809975,-0.427058736,-0.830071489,-1.427896551,-0.400512336,-0.370603151,-0.118457566,-1.107798466,-0.34783622,-0.564616242
Listen to suggestions actively,-0.625556736,0.390406011,-0.506321292,-1.527447787,-0.890123957,-0.596156189,-0.20637442,-1.133398171,-0.698089431,-0.695165316,-0.448512377,-0.496836223,-1.124022423,-1.022917229,-1.131881455,-1.219181086,-0.411118674,-1.08162246,-0.963396115,-0.770459404,-0.732884488,-0.596877636,-0.475791496,-1.424461379,-0.158556947,-1.157406737,-1.413700929,-1.150168114,-0.914011504,-0.832853052,-0.63067989,0.589760511,-0.636189959,-1.795076986,0.035703858,-0.1369484,-0.727436588,-1.643398286,-1.329812368,-0.789574479
Look after elderly parent,0.166387618,0.874369446,1.746838108,0.475531304,-0.206521949,1.6651921,1.393289471,0.461496778,0.844923716,0.604025338,-0.385313862,0.640908228,1.417352161,0.657653702,1.148316431,1.004321417,1.394252634,0.945755021,0.931918404,1.340715393,0.677022274,1.240154452,0.337509477,-0.437709296,0.208536982,1.09106071,1.036086375,0.229251527,0.226501587,0.657472897,1.320953197,1.207476232,0.612952086,0.661333748,0.061565435,0.341257727,1.237374265,0.88150755,0.954326216,0.65857288
Love one's country,-1.19203277,-0.42503923,-0.767840084,-0.344969482,0.565449617,1.57395588,-0.32233513,-0.125060873,-0.867998098,-0.456687344,-0.353451278,0.007502124,1.858458597,2.039274844,-0.601365773,1.359976945,1.631004291,1.465060702,0.626369283,0.200043041,1.758080382,0.7021026,1.041979311,0.672874322,0.763301124,-0.619998895,1.37798789,0.869107558,0.238825835,-0.857436713,-1.096947566,-1.342546576,-0.958964797,0.003663939,-0.71482616,-0.036925883,-0.410209735,0.250661785,0.255275579,-0.57341783
Obey rule and regulation,-0.215901751,1.338443973,-0.81518004,0.517119242,-0.037826962,1.888571592,-0.746201294,0.751182527,-0.495645062,1.876149521,0.394382328,1.326672007,-0.229628979,1.506786549,-0.803606558,-0.15376618,2.195384656,-1.356530911,0.576708273,-0.202308317,0.619052,-0.079669268,1.722439753,1.165275312,1.063208705,-0.66664184,1.007046821,0.160694066,0.302905625,0.359716036,-1.169920949,-1.311955962,0.342965927,-1.036851092,1.208975,0.633117432,1.906913879,0.902681372,2.139536632,1.128136241
Offer condolences,0.529396666,-0.756521035,1.361925796,-0.735197557,-0.784044074,0.548241917,1.279641708,-0.131241005,0.604643343,-0.234068633,-0.617041751,-0.262027752,0.816474218,0.294479475,0.41973913,-0.654797979,-0.979333145,-1.149915507,0.82659447,-0.054368698,0.081863857,-0.689891919,-1.024875551,-0.741309532,-0.55894922,1.265251295,-1.080923328,-0.577332441,-0.467943041,0.208194792,1.421644433,-0.088063083,-0.542242072,-2.057197486,0.070537819,-0.259217012,-0.278969244,-0.449832804,0.101536554,-0.05296603
