"","anger","betrayal","callousness","challenging authority","contempt","deception","desire","disgust","harm to others","harm to the self","hedonism","irresponsibility","norm violation","self-indulgence","sense of dirtiness","unjust-gain","harm to society","disrupting social order","psychological harm","self-interest","fairness violation","strategy","shame","guilt","autonomy violation","injustice","hate","impulsivity"
"Bully",81.0769230769231,70.0769230769231,67,56.8461538461538,67.8461538461538,35.9230769230769,66.9230769230769,81.6153846153846,88.3076923076923,51.9230769230769,58.5384615384615,59,70.95,63.4615384615385,72.2307692307692,56.6153846153846,80.2307692307692,63.4615384615385,76.2307692307692,70.2307692307692,85.7692307692308,46.7692307692308,52.9230769230769,60.8461538461538,61.3571428571429,69.9090909090909,76,48.35
"Cheat in exams",50.4166666666667,47.5833333333333,42.5833333333333,61.0833333333333,61.5833333333333,64.25,54.25,55.5,42.75,51.1666666666667,40.6666666666667,59.6666666666667,64.2777777777778,59.25,48.75,46.5833333333333,44,47,39,63.8333333333333,72.75,64.1666666666667,57,52.75,33.4285714285714,58.875,14.2222222222222,36.0555555555556
"Commit terrorism",81.9285714285714,49,60.5,83.4285714285714,38.5,52.7857142857143,58.4285714285714,70.6428571428571,78.3571428571429,62.2142857142857,44.6428571428571,73.8888888888889,73.8888888888889,56.6428571428571,62.8571428571429,59.5714285714286,89.5714285714286,90.6428571428571,76.4285714285714,57.7142857142857,71.4285714285714,87.7857142857143,60.5,57.1428571428571,54,71.9090909090909,84.0555555555556,41.3888888888889
"Conceal criminal proceeds",85.1538461538462,50.2307692307692,53.3076923076923,64.2307692307692,69,83.0769230769231,60.7692307692308,71.6923076923077,66.6153846153846,56.2307692307692,47,58.9230769230769,74.3076923076923,53.3846153846154,67.4615384615385,80.5384615384615,64.1538461538462,65.0769230769231,40,78.0769230769231,69.3846153846154,79.3076923076923,59.1538461538462,72.9230769230769,50.2,75.7272727272727,49.6153846153846,34.4615384615385
"Corporal punishment",73.5714285714286,43.7142857142857,69.1428571428571,61.2142857142857,53.2857142857143,31.2857142857143,50.0714285714286,73.9285714285714,67.3571428571429,46.1428571428571,43,65.5714285714286,56.2857142857143,52.1428571428571,56.3571428571429,41.7142857142857,55.2857142857143,51.6428571428571,66.2142857142857,44.4285714285714,63.8571428571429,45.3571428571429,55.2857142857143,46.1428571428571,49.9285714285714,54.6666666666667,56.1428571428571,61.3571428571429
"Corruption",78.8,65.8,43.9,76.8,67.7,69.3,81.2,91.4,62.6,40.7,54.2,61.4166666666667,80,62.6,72.6,91.6,88.7,76.7,46.2,89.5,79.7,68.7,51.1,73,46.4285714285714,82.7,32.0833333333333,30.75
"Counterfeit currency",69.7142857142857,66.5,53.1428571428571,72.0714285714286,64.4285714285714,77.7857142857143,72.2857142857143,76.4285714285714,62.5,46.5,65.5,78.6,87,60.7142857142857,59.3571428571429,77.2857142857143,77.7857142857143,73.7857142857143,57.7142857142857,80.0714285714286,57.3571428571429,75.6428571428571,61,56,45.5714285714286,86.3,48.8,30.6
"Cut corners in construction",84.8181818181818,58,54.8181818181818,69.0909090909091,61.7272727272727,82.0909090909091,55.3636363636364,83.8181818181818,74.9090909090909,33.3636363636364,31.2727272727273,81,68.35,43.7272727272727,54.0909090909091,89.8181818181818,88.2727272727273,72,23.3636363636364,90.6363636363636,81.9090909090909,72.2727272727273,64.2727272727273,75.3636363636364,41.5714285714286,55,44.6,30.35
"Defame",73.5,72.0833333333333,53.5833333333333,65.6666666666667,78.4166666666667,77.9166666666667,68.3333333333333,81.4166666666667,84.8333333333333,76.8333333333333,50.25,65.1875,67.875,69,80.6666666666667,67.75,71.5,76.5833333333333,76.3333333333333,61.9166666666667,67.3333333333333,62.8333333333333,76.5,84.1666666666667,46.5,47.6666666666667,67.0625,49.9375
"Default on debt",68.0714285714286,59.4285714285714,56,55.6428571428571,59.7142857142857,60.0714285714286,40.4285714285714,67,44.1428571428571,38.2857142857143,38.5714285714286,72.6153846153846,63.5384615384615,38.3571428571429,47.8571428571429,67,48.0714285714286,47.2142857142857,54.5,69.0714285714286,54.3571428571429,51.5714285714286,58.6428571428571,73.4285714285714,44.0666666666667,41.3,46.7692307692308,43.7692307692308
"Detain illegally",71.8723404255319,51.6808510638298,71.6063829787234,67.436170212766,60.0744680851064,50.7234042553191,58.6489361702128,71.2446808510638,71.4255319148936,50.3936170212766,41.468085106383,69.3846153846154,83.3076923076923,52.2021276595745,63.0744680851064,54.563829787234,69.5531914893617,68.7659574468085,68,58.3723404255319,64.4148936170213,60.8617021276596,56.1808510638298,63.031914893617,70,74.8181818181818,55.6153846153846,42.5384615384615
"Distribute obscenities",58.8125,48.4375,58.9375,63.125,62.3125,51.625,68.875,65.875,63.3125,43.25,63.6875,61.95,71.95,71.375,83.9375,66.125,62.3125,66.3125,62.75,69.9375,49.9375,50.625,82.5,61.8125,41.5,44.5454545454545,42,37.85
"Domestic violence",80.1428571428571,49.7857142857143,75.3571428571429,49.8571428571429,78.9285714285714,31.5,47.2857142857143,84.5,88.4285714285714,46.2142857142857,44.8571428571429,66.0526315789474,81.3684210526316,57.8571428571429,65.9285714285714,26.7857142857143,66,49.3571428571429,77.7857142857143,35.0714285714286,62.2857142857143,21.2857142857143,66.3571428571429,60.8571428571429,72.0714285714286,78.6363636363636,66.3684210526316,67.2105263157895
"Dope in sports",50.5454545454545,30.3636363636364,35.2727272727273,52.2727272727273,53,67.5454545454545,73,57.8181818181818,37.5454545454545,62.2727272727273,48.7272727272727,61.1578947368421,78.5263157894737,66.3636363636364,51.4545454545455,40.8181818181818,30.9090909090909,57.5454545454545,28.1818181818182,74.4545454545455,83.0909090909091,44.8181818181818,62.0909090909091,43.2727272727273,38.8571428571429,67.6,37.8421052631579,45.2631578947368
"Drug abuse",78.1,71.1,67.2,75.3,78.3,51.6,91.2,81,74.8,95.7,97.7,74.6666666666667,80.4166666666667,94,79.1,56.3,77.6,81.1,90.4,61.1,52.2,75.9,74.4,77.8,56.2,74.1818181818182,61.25,81.0833333333333
"Drunk-driving",83.1818181818182,54.7272727272727,65.4545454545455,71.7272727272727,64,51.0909090909091,57.2727272727273,83.0909090909091,80.7272727272727,80.5454545454545,58.4545454545455,74.375,78.875,50.5454545454545,56.6363636363636,38.3636363636364,81.3636363636364,78.8181818181818,68.4545454545455,45.4545454545455,71.4545454545455,43.5454545454545,59.3636363636364,66.9090909090909,45.2142857142857,60.1,34.5625,69.25
"Electoral fraud",86.7692307692308,75.2307692307692,48.0769230769231,83.7692307692308,68.3076923076923,85.3846153846154,85.2307692307692,87.9230769230769,73.9230769230769,46.3076923076923,52.1538461538462,70.0769230769231,78.9230769230769,54.8461538461538,79.1538461538462,77.4615384615385,74,69.4615384615385,68.2307692307692,83.3076923076923,87.8461538461538,79.9230769230769,78.1538461538462,66.2307692307692,36.1428571428571,80.4545454545455,38.1538461538462,24.1538461538462
"Engage in espionage",85.9285714285714,83.0714285714286,60.5,75.5714285714286,77.2142857142857,68.6428571428571,63.7142857142857,83.0714285714286,72.7142857142857,43.7142857142857,41.4285714285714,68.5714285714286,81.8571428571429,64.7857142857143,70.5714285714286,85.5,78.5,78.3571428571429,65,70.9285714285714,75.7857142857143,76.7142857142857,74.9285714285714,77.0714285714286,49.4,83.8888888888889,80.8571428571429,36.0714285714286
"Engage in group fight",71.6923076923077,54.8461538461538,65.6923076923077,55.8461538461538,66.2307692307692,49.1538461538462,58.6153846153846,69.0769230769231,84.6923076923077,80.8461538461538,48.5384615384615,64.1764705882353,68.8235294117647,60.9230769230769,70.3076923076923,60.9230769230769,79.3846153846154,84.1538461538462,64.2307692307692,58.4615384615385,60.6153846153846,53.9230769230769,68.2307692307692,62.6923076923077,50.2857142857143,63.6666666666667,62.2941176470588,68.4117647058823
"Engage in group orgy",80.2,76.5333333333333,42.0666666666667,88.3333333333333,73.7333333333333,52.4666666666667,90.9333333333333,86.9333333333333,74.8,58.6666666666667,91.3333333333333,74.8125,84,90.8666666666667,91.1333333333333,74.0666666666667,83.2,78.5333333333333,70.8,80.9333333333333,66.2666666666667,79.8666666666667,89.8,76.8666666666667,47.1428571428571,53.7,43.6875,45.3125
"Evade taxes",77.3636363636364,82.9090909090909,62,80.0909090909091,74.9090909090909,88.4545454545455,88.5454545454545,90,63.6363636363636,62.4545454545455,56,93.375,78.0625,71.9090909090909,77.3636363636364,86.7272727272727,76.1818181818182,87.6363636363636,57.8181818181818,82.2727272727273,73.9090909090909,82.4545454545455,64.6363636363636,55.4545454545455,45.2857142857143,69.7,55.75,42.4375
"Extortion",71.6914893617021,54.1914893617021,68.7872340425532,66.4893617021277,62.2872340425532,59.4787234042553,61.7127659574468,73.1170212765958,73.6702127659574,51.3617021276596,45.0851063829787,57.8,76.8,55.6276595744681,57.4042553191489,76.1276595744681,71.7978723404255,69.3617021276596,67.5744680851064,71.8723404255319,61.6489361702128,66.6063829787234,57.0957446808511,63.4255319148936,67.0666666666667,77.4166666666667,66.2666666666667,40.0666666666667
"Failure to support parents",70.0769230769231,56.3846153846154,82.7692307692308,64.1538461538462,75.9230769230769,32.2307692307692,29.6923076923077,74,37.4615384615385,35.3846153846154,33.9230769230769,73,66.75,41.6923076923077,41.9230769230769,25.3076923076923,41,46.2307692307692,48.4615384615385,49.8461538461538,40.0769230769231,34.3846153846154,64.5384615384615,77.9230769230769,47.5714285714286,67.4,54.95,19.15
"False advertising",64.2666666666667,47.2,59.4,52.5333333333333,53.8,91.8,51,73.4,62.5333333333333,36.8,28.4666666666667,67.9411764705882,60.4117647058824,45.6666666666667,49.8,78,62.7333333333333,68.3333333333333,52.6,76.6,76.2,58,50.2,53.9333333333333,42.7142857142857,59.75,30.7058823529412,29.5882352941176
"Falsely accuse",75.2666666666667,66.4,66.1333333333333,58.5333333333333,65,77,57.8666666666667,73.6666666666667,73.6666666666667,51.8,54.0666666666667,65.6666666666667,68.0476190476191,55,65.8,64.5333333333333,60.2666666666667,65.1333333333333,70.8666666666667,74.2,73.5333333333333,73.8,60.9333333333333,63.6666666666667,39.9285714285714,78,59.4761904761905,40.4285714285714
"Fight",58.3333333333333,35.6666666666667,52.8333333333333,40.3333333333333,32.4166666666667,21.3333333333333,46.4166666666667,60,72.1666666666667,77.5,39.5833333333333,58.3529411764706,62.4705882352941,49.5833333333333,50.25,35.5,54.6666666666667,57.75,48.9166666666667,45.4166666666667,59.5833333333333,29,39.25,54.25,52.4666666666667,54.2727272727273,60.1764705882353,60.2941176470588
"Flattery",48.9270833333333,39.8541666666667,41.8541666666667,38.46875,53.8229166666667,52.1041666666667,49.0416666666667,52.6145833333333,38.5104166666667,36.9791666666667,41.3229166666667,23.95,33.9,41.8125,45.125,45.5520833333333,39.9166666666667,42.0520833333333,37.8541666666667,57.7291666666667,43.4791666666667,49.0208333333333,52.59375,44,29.5333333333333,40,27.65,22.7
"Fraud",85.625,65,62.1875,64.1875,74.375,89.5,81.0625,89.125,86.0625,65.3125,63.75,80.8235294117647,87.8235294117647,60.0625,75.25,90.5,88.1875,77.1875,78,86.25,83.6875,86.1875,72.5,76.8125,52.5714285714286,76.3333333333333,62.9411764705882,34.0588235294118
"Gamble",68.6923076923077,62.1538461538462,40.3076923076923,58.9230769230769,65.1538461538462,51.3076923076923,84.6923076923077,73.6923076923077,60.7692307692308,84.3076923076923,76,54.5,66.85,79.6153846153846,66.2307692307692,62.5384615384615,73.6153846153846,63.8461538461538,69,73.6153846153846,55.3846153846154,50.6153846153846,61.6923076923077,55.3076923076923,42.4285714285714,43.6363636363636,40.95,60.95
"Hack",60.2307692307692,60.7692307692308,74.6923076923077,64.3076923076923,58.3076923076923,65.6923076923077,57.3846153846154,60.1538461538462,69.9230769230769,49.9230769230769,59.4615384615385,59.4166666666667,65,66.4615384615385,69.6153846153846,69.8461538461538,76.2307692307692,77.7692307692308,68,78.9230769230769,71.6153846153846,85.6923076923077,62.4615384615385,55.5384615384615,37.5333333333333,43.3636363636364,57.3333333333333,33.1666666666667
"Harass others",83.5,49.8333333333333,37,50.9166666666667,60.6666666666667,37.4166666666667,74.75,79.0833333333333,65.25,44.3333333333333,70.4166666666667,61.4736842105263,60.4210526315789,69.75,76.9166666666667,39.5833333333333,64.1666666666667,61.1666666666667,83.5833333333333,63.0833333333333,49.8333333333333,51.9166666666667,72.5833333333333,70.5833333333333,52.8571428571429,56.6,51.1578947368421,58.2631578947368
"Harbor fugitives",63.3846153846154,51.1538461538462,47.2307692307692,80,49.2307692307692,76.5384615384615,50.1538461538462,70.1538461538462,61.8461538461538,47,35.7692307692308,68.4375,75.1875,48.4615384615385,55.0769230769231,52.1538461538462,74.6153846153846,70.6153846153846,53.4615384615385,54.0769230769231,66.0769230769231,57.4615384615385,60.2307692307692,52.3076923076923,45.6,56.6363636363636,50.625,43.375
"Hijack vehicles",81.0769230769231,46.6923076923077,56.4615384615385,79.0769230769231,54.7692307692308,30,59.8461538461538,81.2307692307692,83.6923076923077,57.3076923076923,42.3846153846154,59.625,83.6875,46.5384615384615,66.9230769230769,64.8461538461538,85.3846153846154,81.9230769230769,69.9230769230769,72.0769230769231,72,75.3076923076923,63.6153846153846,79.8461538461538,56.9285714285714,65.8333333333333,59,61.125
"Hire child labor",66.8666666666667,51.2,66.8,65.6666666666667,63.2,49.8,54.4666666666667,72.8666666666667,70.4666666666667,43.7333333333333,40.8666666666667,68.7647058823529,68.5294117647059,51.8,55.6,66,70.1333333333333,54.6,73.4666666666667,73.4,64.2666666666667,61,40.6,63.0666666666667,48.7142857142857,51.4,35.1764705882353,24.6470588235294
"Human trafficking",84.5,66.625,75.875,72.1875,60.75,67.75,62.9375,89.375,83.625,50.875,48.9375,79.1764705882353,76.5882352941177,52.25,76.125,80.4375,79.25,76.4375,73.9375,73.75,73.75,78.25,60.875,58.1875,80.6,84,57.9411764705882,36.2941176470588
"Incest",78.9333333333333,75.9333333333333,38,61.2666666666667,77.1333333333333,47,77.6,89,59.1333333333333,53.9333333333333,88,51.5,93.5,76.8666666666667,91.8,48.8666666666667,53.2666666666667,65.2,71.2666666666667,48,55.7333333333333,52.2666666666667,83.4,69.4666666666667,44.1333333333333,45.0909090909091,33.9166666666667,49.25
"Incite evil behavior",83.5454545454545,58.3636363636364,64.9090909090909,69.0909090909091,65.5454545454545,57.0909090909091,69,82.2727272727273,78.0909090909091,52.6363636363636,59.7272727272727,60.2857142857143,71.5,58.9090909090909,74.5454545454545,52.0909090909091,79.5454545454545,78.6363636363636,76.1818181818182,74.7272727272727,76,63.9090909090909,55.1818181818182,69.7272727272727,55.2,61.8,62.4285714285714,49.0714285714286
"Incite suicide",63.7,52.7,78.1,41.4,48.4,56,52.5,74.7,86.5,40.1,26,61.2142857142857,76.1428571428571,47.9,73.1,29.1,65.8,48.9,74.1,45.4,43.7,45.1,56.2,83.4,64.9285714285714,65.1111111111111,89.5714285714286,52.7857142857143
"Infidelity",64.9090909090909,84.1818181818182,27.6363636363636,41.9090909090909,69.3636363636364,63.9090909090909,65.4545454545455,79.2727272727273,60.6363636363636,48.5454545454545,60.4545454545455,54.9285714285714,74.7857142857143,70.1818181818182,70.4545454545455,27.8181818181818,45.9090909090909,44.2727272727273,58.8181818181818,53.8181818181818,49.7272727272727,50.0909090909091,85.5454545454545,65.9090909090909,35.8,47.3636363636364,30,47.7142857142857
"Infringe patents",65.7157894736842,55.5368421052632,54.4631578947368,61.8736842105263,58.0421052631579,59.4736842105263,55.8,65.7578947368421,58.9894736842105,39.0210526315789,42,75.7857142857143,71.4285714285714,51.4736842105263,57.6947368421053,72.0105263157895,63.3263157894737,61.7684210526316,54.3157894736842,70.6421052631579,69.6842105263158,61.5263157894737,60.0736842105263,64.2105263157895,45.8666666666667,70.25,47.8571428571429,33.7142857142857
"Insult others",69.9166666666667,51.6666666666667,69.0833333333333,60.9166666666667,68.3333333333333,28.5,58.9166666666667,67.75,74.5833333333333,44.4166666666667,46.5,43.0714285714286,44.5,58.6666666666667,67.0833333333333,32.9166666666667,56.6666666666667,65.3333333333333,70.5,42.1666666666667,63.9166666666667,29.9166666666667,55.25,59.5,52.0714285714286,49.9090909090909,62.3571428571429,47.8571428571429
"Intimidation",64.8823529411765,46.0588235294118,66.9411764705882,63.1764705882353,56.2352941176471,53.2352941176471,59.4117647058824,65.3529411764706,76.9411764705882,51.5294117647059,50.7058823529412,48.9375,53.5625,57.3529411764706,58.1764705882353,54.5294117647059,66.4705882352941,64,76.4117647058823,62.8823529411765,71.8235294117647,51.7647058823529,58.0588235294118,67,50.9333333333333,58.1,57.75,29.6875
"Invade homes",67.6489361702128,54.6702127659574,67.1170212765958,68.7234042553192,59.0106382978723,52.6063829787234,60.3297872340426,69.9893617021277,68.5,50.9042553191489,43.3510638297872,58.5625,81.4375,54.6276595744681,56.2659574468085,66.8191489361702,68.9042553191489,68.2340425531915,60.5851063829787,65.563829787234,63.7765957446809,65.3510638297872,56.8829787234043,63.9893617021277,65.9333333333333,74,51.125,38.75
"Kidnap",74.3118279569892,52.8279569892473,68.0967741935484,63.1075268817204,59.4516129032258,47.7849462365591,60.741935483871,72.1290322580645,76.2365591397849,51.8709677419355,42.6344086021505,72,72.6666666666667,55.2903225806452,60.8817204301075,69.8172043010753,73.7849462365591,70.1612903225806,69.9139784946236,67.3870967741936,61.3010752688172,69.3763440860215,58.0322580645161,63.4838709677419,77.3333333333333,82.75,61.1333333333333,48
"leave someone dead",70.2688172043011,50.1612903225806,82.3763440860215,47.2150537634409,59.5161290322581,41.7204301075269,45.3225806451613,67.2258064516129,62.9677419354839,41.2795698924731,35.6666666666667,61.1538461538462,62.8461538461538,48.258064516129,55.2043010752688,41.9569892473118,58.0430107526882,52.2688172043011,60.1935483870968,46.9784946236559,51.8172043010753,43.7741935483871,57.1505376344086,68.2795698924731,46.7333333333333,63,54.6153846153846,45.5384615384615
"Litter",52.2857142857143,31.0714285714286,58.1428571428571,39.2857142857143,41,31.2142857142857,42.3571428571429,45.7857142857143,41.3571428571429,35.3571428571429,35.1428571428571,54.9230769230769,50.4615384615385,39.9285714285714,47.7142857142857,37.1428571428571,41.2857142857143,40.6428571428571,41.8571428571429,43.1428571428571,38.2142857142857,40.7857142857143,41.5,59.2857142857143,26.2666666666667,28.4545454545455,23.0769230769231,29.5384615384615
"Mislead others intentionally",61.468085106383,52.4574468085106,58.8617021276596,51.1276595744681,52.9468085106383,64.2021276595745,55.6914893617021,63.7978723404255,60.7021276595745,41.3617021276596,42.031914893617,49.4,52.7333333333333,53.1170212765957,52.7021276595745,47.4574468085106,56.9255319148936,54.0425531914894,51.7659574468085,55.1276595744681,56.6382978723404,57.2659574468085,51.8191489361702,56.1063829787234,44.2666666666667,27.7272727272727,54.2,38.0666666666667
"Mock disabilities",77.9285714285714,48.9285714285714,79.5,49.5714285714286,80.3571428571429,37.5,53.5714285714286,74.0714285714286,65.6428571428571,44,64.4285714285714,37.4705882352941,38.4117647058824,52.9285714285714,52.7857142857143,41.2142857142857,57.2857142857143,54.3571428571429,75.4285714285714,53.7857142857143,68.1428571428571,23.7857142857143,65,60.6428571428571,47.0666666666667,42.2727272727273,44.5882352941176,43.7647058823529
"Money laundering",66.0833333333333,61.25,48.6666666666667,68.4166666666667,35.3333333333333,58.1666666666667,59.0833333333333,70.6666666666667,55.0833333333333,50.6666666666667,41.1666666666667,62.4285714285714,77.1428571428571,45.75,66.3333333333333,84.8333333333333,74.75,73.9166666666667,36.5833333333333,68.6666666666667,63.0833333333333,74.3333333333333,55.75,55.5833333333333,49.5,71.2222222222222,48.5714285714286,36.5714285714286
"Murder",88.0833333333333,61.75,71.8333333333333,71.1666666666667,58.25,41.5833333333333,65.25,88.3333333333333,89.1666666666667,51,54.1666666666667,79.6923076923077,86.6923076923077,50.3333333333333,71.25,33.8333333333333,86.4166666666667,77,76.8333333333333,54.8333333333333,56.9166666666667,69.5,50.9166666666667,80,84.0714285714286,77.3636363636364,82.3076923076923,61.0769230769231
"Negligent homicide",82.2307692307692,52.1538461538462,73.0769230769231,51.6153846153846,75.9230769230769,43.1538461538462,55.0769230769231,73.7692307692308,88.4615384615385,52.5384615384615,51.1538461538462,71.75,67.625,53.3846153846154,58,34.6153846153846,75.7692307692308,67.6923076923077,75.3846153846154,35.6153846153846,62.3076923076923,41.7692307692308,60,74.9230769230769,66.1333333333333,47,51,63.125
"Not return items",60.6363636363636,48.5454545454545,80.5454545454545,28.9090909090909,70,68.5454545454545,53,60.1818181818182,49.4545454545455,25.3636363636364,51,47.1428571428571,50.2142857142857,49.6363636363636,40.8181818181818,62.5454545454545,32.3636363636364,39.9090909090909,37,69.8181818181818,69.8181818181818,36.0909090909091,65.7272727272727,57.7272727272727,32.6,42.3636363636364,24,23
"Online bullying",75.6,37.2,71.7333333333333,46.8666666666667,54.9333333333333,46.7333333333333,54.0666666666667,79.9333333333333,81.3333333333333,43,51.5333333333333,58.5625,69.375,53.5333333333333,73.6666666666667,43.5333333333333,71.7333333333333,72.9333333333333,82.7333333333333,48.6,66.8,43.9333333333333,62.1333333333333,64.4,56.5,67,59.75,61.3125
"Organize a mafia",76.625,60.1875,61.5625,81.5625,48.375,53.625,48.6875,71.4375,84.1875,58.5625,57.75,69.0769230769231,72.6153846153846,63.25,64.625,76.5,88.125,90.625,66.4375,68,68.3125,74.9375,52,50.25,52.4,69.0909090909091,79.1538461538462,45.3076923076923
"Organize organ selling",67.4444444444444,70.1111111111111,67.8888888888889,78.4444444444444,66.4444444444444,70.8888888888889,73.6666666666667,82.5555555555556,86.7777777777778,71,68.3333333333333,66.5,75.6428571428571,68.3333333333333,70.3333333333333,77.4444444444444,84.3333333333333,85.3333333333333,71.7777777777778,74.8888888888889,68.7777777777778,81.2222222222222,61.3333333333333,56.4444444444444,55.0714285714286,80.7777777777778,55.7857142857143,26.1428571428571
"Police brutality",77,52.9166666666667,56.75,79.1666666666667,72.4166666666667,57,66,76,77,71.8333333333333,52,78.5333333333333,75.5333333333333,72.25,74.1666666666667,51.5833333333333,78.0833333333333,77.8333333333333,77.75,55.5,75.3333333333333,59.25,77.8333333333333,67.6666666666667,63.7142857142857,70.6363636363636,65.3333333333333,68.2
"Pollute water",56.8,28.3,58,37.9,39.8,26.4,34.3,61.6,60.4,33.7,30.5,69.75,56.6875,32.3,40.8,23,54.7,44.2,22.1,29.9,36.7,40.3,41.8,44.1,54,43.3333333333333,35.5625,22.4375
"Prostitution",59.7333333333333,37.2666666666667,42.0666666666667,55.8666666666667,69.0666666666667,36.6,55.5333333333333,76.4666666666667,46.4,64.4666666666667,56.3333333333333,55.0625,75.4375,80.9333333333333,82.4666666666667,80.0666666666667,62.2,65.1333333333333,62.3333333333333,66.2666666666667,46.9333333333333,43.2666666666667,80.4666666666667,53.2666666666667,52.4,60.5454545454545,37,38.875
"Racist speech",69.4166666666667,64.5833333333333,63.8333333333333,68.5833333333333,62.25,37.9166666666667,46,69.25,72.5833333333333,41.6666666666667,35.3333333333333,53.7857142857143,68.2142857142857,52.5,66.0833333333333,43.1666666666667,77,76.8333333333333,73.1666666666667,56.25,69.5,59.0833333333333,64.25,50.4166666666667,46.9285714285714,61.9,82.4285714285714,39.0714285714286
"Rape",85.9333333333333,59.0666666666667,71.4,58,68.4,47.7333333333333,91.4666666666667,89.4,93.8,58.8,83.4666666666667,59.4,86.8666666666667,87.6666666666667,96.1333333333333,56.2666666666667,78.0666666666667,67.7333333333333,94.8,76.9333333333333,78.1333333333333,69,89.8666666666667,75.9333333333333,79.5,69.9,52.9333333333333,66.2
