"","anger","betrayal","callousness","challenging authority","contempt","deception","desire","disgust","harm to others","harm to the self","hedonism","irresponsibility","norm violation","self-indulgence","sense of dirtiness","unjust-gain","harm to society","disrupting social order","psychological harm","self-interest","fairness violation","strategy","shame","guilt","autonomy violation","injustice","hate","impulsivity"
"Abuse",80.1538461538462,38.9230769230769,65.8461538461538,46.9230769230769,73.0769230769231,31.5384615384615,64.2307692307692,81.3846153846154,79.3846153846154,41,59,74.4117647058823,79.1764705882353,51.7692307692308,68.7692307692308,35.1538461538462,68.5384615384615,61.4615384615385,77.3076923076923,51.5384615384615,70.9230769230769,52.5384615384615,57,65.9230769230769,69.7857142857143,74.5555555555556,73.6470588235294,49
"Arson",78.4615384615385,51.6153846153846,59.9230769230769,66.2307692307692,55.3846153846154,36,50.6153846153846,67.6923076923077,79.1538461538462,60.5384615384615,34.9230769230769,71.7,80.2,55.2307692307692,69.1538461538462,33.5384615384615,79.6923076923077,77.6923076923077,66.3076923076923,44.6923076923077,52.3846153846154,61,69.3076923076923,70.9230769230769,52.0714285714286,64,74.8,56.9
"Be arrogant",43.2777777777778,33.3888888888889,45.7777777777778,33.7222222222222,58.6111111111111,47.7222222222222,58.9444444444444,62.3888888888889,34.8888888888889,38.7777777777778,50.2777777777778,27.6666666666667,25.8333333333333,38.7777777777778,34.1111111111111,39.6111111111111,33.8888888888889,33.1111111111111,46.3888888888889,60.6111111111111,32.9444444444444,38.8333333333333,48.1666666666667,44.6666666666667,26.3333333333333,28.25,24.9444444444444,25.8888888888889
"Be jealous",53.0625,33.4375,55.4375,31.25,55.0625,29.5,37.75,54.875,41,31.125,29.375,18.6,22.6,33,45.125,21.25,35.3125,29.375,55.5625,43.5625,32.1875,28.75,49.5,44.5,35.7142857142857,40,43.8666666666667,25.1333333333333
"Be lazy",40.6195652173913,32.6413043478261,43.8586956521739,38.7934782608696,46.25,36.695652173913,43.25,43.0978260869565,36.7608695652174,43.3695652173913,46.0326086956522,30.1538461538462,28.0769230769231,50.3260869565217,35.7282608695652,32.8695652173913,40.5978260869565,34.6847826086956,40.0434782608696,39.5760869565217,34.2826086956522,33.5108695652174,44.3369565217391,41.3478260869565,29.9333333333333,20.4,31.5384615384615,28.5384615384615
"Be rude",55.2666666666667,26.8666666666667,61.8,29.3333333333333,56.6666666666667,27.8,28.6666666666667,49.0666666666667,39.4666666666667,24.0666666666667,27,14.6428571428571,20.5714285714286,42.9333333333333,41.4,23.7333333333333,29.8666666666667,34.4666666666667,56.2,31,33.1333333333333,21.6,27.3333333333333,32.9333333333333,29.2857142857143,40.6666666666667,18.7142857142857,44.7857142857143
"Be tardy",47.3333333333333,39.0666666666667,41,44.5333333333333,45.3333333333333,38.6,34.2666666666667,55.5333333333333,33.9333333333333,39.4666666666667,35.6,31.4,22.8,49.8,29.5333333333333,28.4666666666667,36.6,32.5333333333333,29.6666666666667,34.5333333333333,35.6666666666667,34.4666666666667,41.0666666666667,43,28.0714285714286,57.2222222222222,14.8666666666667,24.6666666666667
"Bestiality",74.3529411764706,45.3529411764706,79.2352941176471,46.1764705882353,74.7058823529412,52.7647058823529,83.4117647058823,79.5882352941177,49.4705882352941,50.4705882352941,71,58.6666666666667,80.2083333333333,79.3529411764706,89.4117647058823,39.0588235294118,54,60.8823529411765,78.4117647058823,62.6470588235294,58.1764705882353,55.6470588235294,76.9411764705882,59.1176470588235,50.5,68.1666666666667,50.7916666666667,67.125
"Binge eating",38.2765957446809,31.5425531914894,45.3191489361702,37.3191489361702,43.5,34.9468085106383,60.1489361702128,46.3617021276596,35.5957446808511,64.0957446808511,53.2765957446809,33.1875,31.875,61.4255319148936,38.1382978723404,32.6914893617021,36.2553191489362,36.7553191489362,41.2659574468085,42.2021276595745,37.2659574468085,32.6914893617021,39.9042553191489,40.5106382978723,28.9333333333333,40.3,25.0625,59.6875
"Bribe",63.9166666666667,47.6666666666667,49.0833333333333,64.6666666666667,62.75,68.8333333333333,67.1666666666667,78.0833333333333,60.9166666666667,48.5833333333333,51,50.4166666666667,70.0833333333333,50.3333333333333,72.8333333333333,64.0833333333333,65.8333333333333,71.9166666666667,55.0833333333333,78.25,78.25,58.25,61.3333333333333,59.3333333333333,50.7333333333333,87.7777777777778,37.6666666666667,28.4166666666667
