"","loyalty","respect","fairness","social contribution","altruism","self-advancement","caring for others","self-control","sanctity","obeying rule","sacrifice","duty","empathy","temperance","material cost","competence","love","courage","justice","autonomy","indignation","honesty","warmth","passion","gratitude","nobility"
"Consider others' feelings",50.4117647058824,69.2941176470588,60.2666666666667,53.4705882352941,69.2352941176471,55.4666666666667,81.4705882352941,56.2666666666667,40.7333333333333,47.4,49.9411764705882,57.9333333333333,87.8235294117647,50.8666666666667,47.1764705882353,51.2941176470588,57.7333333333333,42.5333333333333,54.1176470588235,66.2352941176471,47.7647058823529,48.4117647058824,80.5294117647059,48.8235294117647,68,54.2352941176471
"Read widely",46.8666666666667,51.4666666666667,28,51.2666666666667,43.3333333333333,83.4,39.3333333333333,41.4,38.9,30.2,44.7333333333333,28.7,46.8,34.5,54.8666666666667,59,27.9,27,44.2666666666667,69.4705882352941,25.8,47.1333333333333,45.8,58.2666666666667,47.0666666666667,46.8
"Rescue",74.5625,75.75,53.25,83.5625,84.1875,58.625,74.25,56.125,64.0625,72,79.8125,65.0625,77.25,47.5,72.875,72.3125,82.375,75.5,81.8125,65.8235294117647,52.25,64.1875,83,66.3125,82.4375,82.0625
"Protect vulnerable groups",54.3333333333333,61.8,86.0714285714286,92.6,89.2666666666667,49.1428571428571,88.6666666666667,51.7142857142857,54.7857142857143,63.0714285714286,81.2666666666667,73.2142857142857,75.8,33.4285714285714,73.6666666666667,65.2,70.2857142857143,66.0714285714286,84.3333333333333,63.4705882352941,65,60.8,88.8666666666667,70,87.2666666666667,85.4666666666667
"Volunteer",68.8888888888889,74.6111111111111,57.1333333333333,84.3333333333333,84.3333333333333,58.0666666666667,89.1111111111111,58.1333333333333,59.0666666666667,64.3333333333333,75.5,55.4666666666667,83.6666666666667,55.6,63.6666666666667,76.6666666666667,72.2666666666667,47.6666666666667,73.3333333333333,64.1764705882353,53.7222222222222,65.6666666666667,89.3333333333333,82.8888888888889,81.9444444444444,79.0555555555556
"Be grateful for help",61.8461538461538,66.0769230769231,47.8,63.9230769230769,78.6153846153846,47.9,72.3076923076923,36.4,57.6,60.9,53.9230769230769,59.6,78.6153846153846,45.8,56.0769230769231,60.3846153846154,68.9,39.4,62.7692307692308,72.6470588235294,24,59.2307692307692,78.4615384615385,70.3076923076923,75.6923076923077,73.3076923076923
"Keep promises",67.75,64,54,55.125,65.8125,54.6363636363636,63,66.7272727272727,51.1818181818182,61.4545454545455,51.375,75,72.0625,63.3636363636364,54.75,58.4375,37.4545454545455,42.1818181818182,57.0625,74,42.875,86.5625,64.6875,54.1875,57.8125,59.75
"Listen to suggestions actively",40.9411764705882,48.0588235294118,32.25,39.1176470588235,52.6470588235294,39.3125,54.0588235294118,43,37.625,49.75,47.8235294117647,43.5625,63.9411764705882,44.25,33.1176470588235,40.3529411764706,36.375,29.4375,52.8235294117647,69.1764705882353,36,45.8823529411765,48.7058823529412,48.9411764705882,52.2941176470588,44.9411764705882
"Value collective interest",74.15,65.35,64.7333333333333,65.8,77.2,52.4666666666667,61.3,48.6666666666667,48.6,66.6,66.85,73.8666666666667,77.8,57.5333333333333,65.85,64.1,62.6,46.9333333333333,67.4,62.7058823529412,48.95,55.4,68.95,60.05,69.45,68.75
"Communicate effectively",36.4117647058824,46.1176470588235,38.2857142857143,48.6470588235294,44.4117647058824,65.5714285714286,67.9411764705882,46.7857142857143,31.8571428571429,35.3571428571429,47.8235294117647,33.5,65.7647058823529,32.2142857142857,26,61,47.1428571428571,37.0714285714286,36.1176470588235,66.4705882352941,27.8235294117647,34.8235294117647,73.9411764705882,66.0588235294118,52.7058823529412,45.4705882352941
"Business integrity",54.9473684210526,48.5263157894737,60.9333333333333,50.2631578947368,52.0526315789474,64.4,43.7894736842105,67.1333333333333,48.7333333333333,64.4666666666667,44.1052631578947,69.2,65.8421052631579,58.8666666666667,54.2105263157895,50.8421052631579,52.4666666666667,51.6666666666667,62.6842105263158,72.7058823529412,41,93.5263157894737,54.7368421052632,56.1578947368421,50.4736842105263,49.6315789473684
"Aid disaster areas",60.6666666666667,60.2666666666667,57.25,77.4,78.0666666666667,41.1875,79.0666666666667,37.8125,50.0625,56.6875,71.4666666666667,47.375,81.2666666666667,34.3125,83.4,54.9333333333333,67.1875,54.0625,71.8,70.7647058823529,40.0666666666667,50.5333333333333,82.2,73.2,82.5333333333333,77.6666666666667
"Cooperate with teammates",64.25,64.75,53.9375,65.6875,66.9375,56.4375,66.4375,55.3125,39.75,61.6875,64.75,61.1875,78.4375,39.125,57.875,69.8125,61.5625,37.375,60.3125,68.7647058823529,46.375,64.125,77,65.5625,66.3125,62.75
"Be considerate",40.7333333333333,45,30,43.6,63.2666666666667,32.4166666666667,68.3333333333333,36.25,26.6666666666667,33,68.2,43.5833333333333,73.4,33.8333333333333,49.8,54.5333333333333,58.1666666666667,26.6666666666667,39.6666666666667,65.9411764705882,36.5333333333333,50.8666666666667,72.7333333333333,46.6,59.2,55.4
"Use eco-friendly package",58.2941176470588,58.5882352941176,40.625,68.0588235294118,66.2941176470588,46.375,61.7647058823529,53.375,41.9375,54.3125,66.0588235294118,65.125,63.7058823529412,43.5625,64,70.2352941176471,43.5625,34.6875,64.6470588235294,64.2352941176471,52.7058823529412,60.8235294117647,69.4705882352941,62.8235294117647,65,72.5882352941177
"Return lost property",59.9473684210526,55.3157894736842,52.875,55.5263157894737,74.2631578947368,33.6875,59.4736842105263,71.8125,53.4375,53.3125,56.1578947368421,62.25,68.6315789473684,60,45.2105263157895,59.0526315789474,44,51,72.3684210526316,68.5294117647059,44.3684210526316,79.7894736842105,73.3684210526316,58.9473684210526,85.6842105263158,72.0526315789474
"Be punctual",57.2941176470588,51.4117647058824,54.25,50.2352941176471,51.0588235294118,62.6875,55.2941176470588,77.4375,43.0625,61.75,49.5294117647059,70.375,66.8235294117647,67.6875,48.6470588235294,53.7647058823529,49.25,44.625,53.4705882352941,66.1764705882353,43.7058823529412,75.3529411764706,55.1764705882353,47.0588235294118,54.6470588235294,58.6470588235294
"Defeat enemies bravely",56.5,35.375,29.6,80.3125,54.375,34.7333333333333,37.8125,27,37.9333333333333,28.9333333333333,77.8125,59.6,32.5,34.9333333333333,34.625,69.5625,52.6666666666667,85.2,63.625,65.6470588235294,56,30.75,43.625,50.125,63.3125,66.9375
"Donate generously",71.2307692307692,67.6923076923077,35.7777777777778,82.3076923076923,83.3846153846154,33.2222222222222,72.9230769230769,32.1111111111111,32.5555555555556,48.4444444444444,82,31.5555555555556,69.0769230769231,26.5555555555556,83.3846153846154,51.6153846153846,63.2222222222222,34.2222222222222,75.8461538461538,69.4705882352941,46.3076923076923,68,86.3076923076923,76.7692307692308,86.3076923076923,85.3076923076923
"Be understanding",41.625,62.5625,52.9375,56.6875,64.9375,45.875,74,43,40.4375,44,50.3125,42.5,85.1875,48.875,49.4375,41,53.25,35.3125,52.8125,67.2941176470588,30.75,48.5625,80.6875,64.5,71.3125,59.375
"Embrace diversity",45.5,65.5,56.8,59.5,58.3333333333333,51.5333333333333,58.8888888888889,46.1333333333333,39.0666666666667,43.3333333333333,52.1111111111111,45.6666666666667,68.8333333333333,42.8666666666667,49.3333333333333,58.3333333333333,44.6,34.8666666666667,59.2222222222222,50.4117647058824,42.5555555555556,51.3333333333333,67.8888888888889,63.2222222222222,57.0555555555556,57.4444444444444
"Respect teacher and elder",63.4705882352941,83.5294117647059,42,58.5882352941176,48.0588235294118,48.5333333333333,69.2941176470588,44.6666666666667,49.2,74.2666666666667,48.8823529411765,61.6666666666667,65.7647058823529,36.8666666666667,38.2941176470588,50.6470588235294,61.0666666666667,33.2666666666667,62.2352941176471,73.7058823529412,39.1764705882353,55.4705882352941,67.9411764705882,63,59.5294117647059,64.6470588235294
"Reflect on oneself",52.5333333333333,43.9333333333333,41.2352941176471,46.4,44.8,69.2941176470588,42.6666666666667,59.3529411764706,44.2941176470588,44.3529411764706,48.8666666666667,51.9411764705882,59.2666666666667,59.4117647058824,38,56.1333333333333,40.2352941176471,39.2352941176471,48.8666666666667,56.1764705882353,36.8666666666667,51.7333333333333,41.5333333333333,41.4,44.2666666666667,51.3333333333333
"Listen attentively",46.5,59.75,40.4666666666667,44.875,43.875,47.4666666666667,63.9375,52.7333333333333,30.2,50.6666666666667,47.4375,31.2,71.9375,52.3333333333333,40.6875,48.125,52.2666666666667,23.7333333333333,39.6875,55.2941176470588,37,52.125,60.8125,56.125,40.3125,44.375
"Love one's country",84.875,67.125,47.1538461538462,70.75,44.1875,56.7692307692308,49.875,64.0769230769231,69.1538461538462,82.7692307692308,61.1875,83.3846153846154,62.4375,56.7692307692308,40.4375,54.4375,85.8461538461538,54.3076923076923,60.4375,61.9411764705882,37.1875,48.9375,56.5,76.1875,49.875,82.25
"Defend borders",89.6842105263158,70.6842105263158,69.2,87.6315789473684,71.0526315789474,54.5333333333333,54.5263157894737,51.6,70.7333333333333,89.5333333333333,77.3684210526316,87.6666666666667,65.1578947368421,46.9333333333333,59.7894736842105,74.4736842105263,81.9333333333333,68.3333333333333,81.8947368421053,61.2352941176471,51.8421052631579,46.1052631578947,64.4736842105263,66.0526315789474,73.4736842105263,86.5263157894737
"Save lives",43.85,64.65,55.9333333333333,78.5,74.45,51.2666666666667,82.55,45.4,73.2,56.6666666666667,65.4,70.0666666666667,75.85,40.2,57.65,66.9,70.0666666666667,66.5333333333333,75.85,46.8823529411765,44.6,41.2,74.7,61.5,85.3,86.3
"Compete fairly",50.5,53.8333333333333,93,64.2777777777778,57.1666666666667,60.7333333333333,46.2222222222222,55.5333333333333,58.1333333333333,66.7333333333333,45.1666666666667,65.4,59.8888888888889,59.8,35.8333333333333,57.2777777777778,42.2,61.2666666666667,77.8333333333333,65,36.4444444444444,70.2777777777778,51.5,43.1111111111111,46.3333333333333,53.2777777777778
"Keep quiet in library",34.2631578947368,57,43.5625,52.1578947368421,63.6315789473684,47.1875,65.6315789473684,62.75,26.8125,66.625,33.4210526315789,59.875,77.7894736842105,73.625,34.2631578947368,42.5789473684211,37.8125,25.375,55,70.8823529411765,38.9473684210526,41.2105263157895,56.1052631578947,43.2631578947368,53.8421052631579,42.0526315789474
"Care for sick friend",46.8235294117647,60.7058823529412,36.4,48.4117647058824,64.1176470588235,36.6666666666667,89.4705882352941,40.2,39,43.8,62.2352941176471,60.6,79.2941176470588,34.3333333333333,54.9411764705882,50.6470588235294,80.8,37.1333333333333,55,72.2941176470588,35.1764705882353,49,81.7058823529412,59.9411764705882,70.3529411764706,53.1764705882353
"Look after elderly parent",65.0526315789474,70.7894736842105,55.8235294117647,54,64.4736842105263,64,90.1052631578947,54.2941176470588,55.4705882352941,78.9411764705882,76.8947368421053,85.0588235294118,84.6842105263158,49.2352941176471,64.5789473684211,64.2105263157895,78.5294117647059,41.1176470588235,70,73.4705882352941,36.7894736842105,62.5263157894737,81.3157894736842,70.6315789473684,74.2631578947368,77.1052631578947
"Adopt orphans",51.6470588235294,53.5294117647059,57.2142857142857,60.9411764705882,87.6470588235294,30.6428571428571,81.1176470588235,34.2142857142857,48,48.5714285714286,73.0588235294118,30.2142857142857,76.0588235294118,37,81.7058823529412,53.7647058823529,68.9285714285714,36.1428571428571,74.1764705882353,45.5882352941176,39.5882352941176,53.5294117647059,85.5294117647059,69.9411764705882,80.4705882352941,77.3529411764706
"Cheer up deflated friends",53.6666666666667,59.5333333333333,52.6,48.2,65.9333333333333,57.9333333333333,76.3333333333333,55.6666666666667,59.4,62.7333333333333,57.6666666666667,61.0666666666667,75.2666666666667,53.5333333333333,44.6666666666667,58.9333333333333,65.2,56.1333333333333,53.2666666666667,79.9411764705882,38.3333333333333,62,80.6,57.0666666666667,67.0666666666667,55
"Help elderly cross street",33.5,62.25,45.5,51.375,75.4375,30,78.0625,34.5833333333333,33,56,46.75,36.0833333333333,68.375,38.5,31.8125,50.0625,63.0833333333333,57.0833333333333,61.1875,70,27.1875,45.9375,76,60.8125,78.125,46.5625
"Celebrate others' success",49.6315789473684,67.4736842105263,43.1578947368421,49.3684210526316,62.8421052631579,44.3684210526316,75.5789473684211,48.7894736842105,39.8421052631579,52.2105263157895,55.3684210526316,42.5789473684211,80.8947368421053,42.5789473684211,50.9473684210526,52.1578947368421,69.3157894736842,38.2631578947368,53.6842105263158,70.1764705882353,40.9473684210526,47.8947368421053,84.2631578947368,76,62.6842105263158,58.6842105263158
"Promote justice",64.2631578947368,69.1578947368421,80.875,66.7894736842105,74.8421052631579,43.75,72.3684210526316,50.75,56.6875,65.25,73.1052631578947,64.4375,81.4210526315789,45.75,53.8947368421053,71.2105263157895,59.8125,85.8125,88.0526315789474,72.8235294117647,73.6315789473684,57.5789473684211,71.4210526315789,62.8421052631579,79.4210526315789,78.8947368421053
"Step up to help",62,57.8421052631579,45.3125,73.1052631578947,74.6842105263158,40.5625,66,42.9375,50.0625,48.3125,74.5263157894737,45.1875,71.1052631578947,34.3125,54.6315789473684,71.7894736842105,56.375,83.3125,78.3157894736842,65.1764705882353,54.4210526315789,46.6842105263158,69.6842105263158,55.5789473684211,76.0526315789474,76.6842105263158
"Take the initiative to clean",47.3333333333333,49.6666666666667,45.6,52.1904761904762,54.0952380952381,41.5,61.0476190476191,53.2,38,49,54.1428571428571,45.8,67.6666666666667,46.2,38.7619047619048,60.3333333333333,38.95,34.5,52.2857142857143,60.4117647058824,38.6190476190476,40.6190476190476,65.8571428571429,72.4285714285714,61.1428571428571,53.5714285714286
"Greet politely",28.5789473684211,63.7368421052632,31.5,40.0526315789474,52.1052631578947,30.2142857142857,65.3157894736842,50.2142857142857,40.7857142857143,49.2857142857143,34.4736842105263,31.2857142857143,76.2631578947368,42.2142857142857,22.1578947368421,41.3684210526316,57.8571428571429,31.3571428571429,38.5263157894737,74.9411764705882,30.4736842105263,34.0526315789474,72.6842105263158,53.7368421052632,46.5789473684211,38.2105263157895
"Praise others' strength",39.3333333333333,52.8,43.5384615384615,38.6666666666667,64.6666666666667,38.8461538461538,62.2666666666667,46.1538461538462,40.2307692307692,40.3076923076923,39.3333333333333,42.9230769230769,77.4,50.6923076923077,31.2,44.6666666666667,52.3076923076923,42.3846153846154,39,68.5882352941177,37.8666666666667,45.1333333333333,69.4,60.0666666666667,53.9333333333333,50.8
"Enforce law impartially",72.65,53.65,82.6111111111111,82.05,62.85,47.4444444444444,44.8,54.3333333333333,43.0555555555556,87.3333333333333,65.8,83.3888888888889,55.45,51.9444444444444,40.85,63.9,52.8333333333333,54.3333333333333,87,74.9411764705882,54.5,67.05,44.55,44.85,60.3,75.05
"Obey rule and regulation",77.2352941176471,66.5294117647059,60.1052631578947,78.1764705882353,58.7647058823529,46.2631578947368,49.1176470588235,73.5263157894737,54.7368421052632,91.8947368421053,55.6470588235294,89.1578947368421,56.9411764705882,60.8421052631579,37.6470588235294,64.7058823529412,51.2105263157895,44,80.3529411764706,77.5882352941177,46.5294117647059,78.8235294117647,55.8235294117647,46,55.1764705882353,60.3529411764706
"Care for public property",55.5263157894737,70.6315789473684,53.8,68.4736842105263,63.6315789473684,33.6666666666667,48.4736842105263,71.6,52.2,83.8,58.9473684210526,76.6,67.6842105263158,73.4666666666667,52.9473684210526,57.5789473684211,60.2,45.4,63.5789473684211,71.5882352941177,45.4210526315789,62.5789473684211,62,65.9473684210526,56.3684210526316,57.2105263157895
"Respect privacy",59.3333333333333,78.4,56.5714285714286,65.7333333333333,69.5333333333333,35.2142857142857,67.8,57.1428571428571,44.5714285714286,63.0714285714286,56.2,67.1428571428571,79.6,65.6428571428571,47.8666666666667,49.2,54,31.0714285714286,66.5333333333333,71,63.2666666666667,64.1333333333333,67.5333333333333,48.6,62.4,56.2
"Preserve national secret",91.2352941176471,61.8235294117647,55.9230769230769,78.7058823529412,68.5882352941177,37,48.7058823529412,72.6923076923077,60.8461538461538,91.3846153846154,56.7058823529412,96.1538461538462,66.7647058823529,70.3076923076923,50.5294117647059,58.1176470588235,72.5384615384615,46.3846153846154,67.4705882352941,80.4705882352941,39.9411764705882,68.4117647058823,54.5882352941176,63.1176470588235,56.5294117647059,74.3529411764706
"Respect others' opinion",58.1176470588235,83.1764705882353,53.7058823529412,57.4705882352941,76.6470588235294,44.5882352941176,72,45.9411764705882,41.1176470588235,57.4705882352941,57.1764705882353,54.1176470588235,79.2941176470588,57.0588235294118,40,61.0588235294118,49.8235294117647,28.1764705882353,60.5294117647059,69.5294117647059,42.2941176470588,62.0588235294118,68.2941176470588,61.4117647058824,64.2352941176471,66.7058823529412
"Recycle",45.0526315789474,55.3157894736842,36.1111111111111,63.8947368421053,59.5789473684211,41.2777777777778,51.1578947368421,49,40.3888888888889,53.1111111111111,56.2105263157895,43.2777777777778,57.4736842105263,55.8888888888889,44.0526315789474,48.2631578947368,38,31.8333333333333,50.4210526315789,64.8235294117647,33.3157894736842,52.3157894736842,54.8421052631579,56,52.9473684210526,63.7894736842105
"Bravely stop thief",53.1764705882353,55.4705882352941,58,81.5882352941177,74.5882352941177,30.3076923076923,73,47.3846153846154,52.1538461538462,55.1538461538462,76.1764705882353,47.1538461538462,62,41.4615384615385,42.4117647058824,77.7647058823529,45.6923076923077,92.8461538461538,87.7647058823529,66.0588235294118,89,53.5294117647059,71.8823529411765,64,74.8823529411765,79.9411764705882
"Recognize and fix one's error",49.0555555555556,52.5555555555556,43.3333333333333,51.8333333333333,49.6111111111111,56.0555555555556,54.8333333333333,58.4444444444444,41.3333333333333,51.5555555555556,55.3333333333333,43,61.4444444444444,60.5,46.3888888888889,59.8888888888889,36.8333333333333,48.6111111111111,51.3333333333333,64.8235294117647,47.8333333333333,60.6111111111111,58.7222222222222,53,52.7222222222222,58.4444444444444
"Spend time with family",65.0666666666667,58.0666666666667,41.2307692307692,50.4666666666667,59.8666666666667,28.4615384615385,91.6,40.8461538461538,28.6923076923077,49.3076923076923,65.6,66.4615384615385,68.7333333333333,27.8461538461538,52.2666666666667,51,86.8461538461538,16.3076923076923,48.9333333333333,76.4117647058823,31.8,66.4666666666667,81.6666666666667,61.2666666666667,54.3333333333333,52.6666666666667
"Be factual",50.75,51.0625,54.3846153846154,51.8125,48.4375,57.3846153846154,40.75,67.6153846153846,42.8461538461538,73.1538461538462,42.75,64.0769230769231,49.3125,54.6153846153846,43.5,48.375,39.1538461538462,49.5384615384615,56.0625,61.7058823529412,35.3125,74.375,44.8125,44.25,40.5,54.5
"Practice self-discipline",41.0625,45.625,33.1764705882353,40.5625,29.5625,81,34.875,87,34.1764705882353,54,44,49.3529411764706,41.0625,85.2941176470588,37.875,65.6875,34.2941176470588,38.2941176470588,42.6875,60.3529411764706,35.625,52.5625,36.9375,38.125,41.5,44.5625
"Value science",68.8,83.55,42.3529411764706,70.6,56.85,69.3529411764706,49.05,50.6470588235294,50.6470588235294,61.8823529411765,64.05,59.0588235294118,61,58.1764705882353,63.35,68.6,53.3529411764706,43.8823529411765,64.85,56.6470588235294,43.05,65.3,51.9,73.75,59.55,72.65
"Value mental health",54.0714285714286,62.9285714285714,33.1538461538462,60.6428571428571,69.7857142857143,37.6923076923077,82.2142857142857,32.7692307692308,32.8461538461538,46.8461538461538,55.5,52.4615384615385,81,36,52.7142857142857,58.4285714285714,46.7692307692308,36.6153846153846,56.5714285714286,65.1176470588235,34.5714285714286,47.9285714285714,70,61.7857142857143,60.1428571428571,60.5714285714286
"Appreciate fine art and music",30.2857142857143,29.2142857142857,18.5384615384615,25.2142857142857,20.4285714285714,29.8461538461538,26.3571428571429,19.6923076923077,24.3076923076923,23.3076923076923,32.7857142857143,14.2307692307692,32.4285714285714,18,36.2857142857143,44.9285714285714,19.2307692307692,14.8461538461538,27.1428571428571,48.5294117647059,17.2857142857143,29.1428571428571,27.1428571428571,61.1428571428571,23.5,27.5
"Enjoy the beauty of nature",37.4285714285714,47.1428571428571,36.2941176470588,33.6190476190476,34.1428571428571,41.7647058823529,36.9523809523809,37.2941176470588,45.2941176470588,40.2941176470588,42.8571428571429,33.3529411764706,44.5714285714286,30.1764705882353,40.9523809523809,43.5238095238095,46.2941176470588,27.9411764705882,35.2380952380952,66.2352941176471,35.1428571428571,38.0476190476191,42.7142857142857,60.4285714285714,37,39.2380952380952
"Yield to pedestrian when driving",38.1578947368421,62.7894736842105,63,69.1578947368421,75.4736842105263,42.7857142857143,70.6842105263158,61.4285714285714,52.5714285714286,79.5714285714286,51.4210526315789,66.5,80.4210526315789,63.9285714285714,30.1578947368421,55.2105263157895,66.7857142857143,42.9285714285714,64.8421052631579,65.8235294117647,27.4736842105263,33.3684210526316,71.8947368421053,51.4736842105263,62.5789473684211,58
"Pay attention in class",53.4166666666667,61.9166666666667,43.3846153846154,47.6666666666667,37.4166666666667,67.4615384615385,45.5833333333333,75.5384615384615,39.9230769230769,47.3076923076923,48.0833333333333,52.2307692307692,42.9166666666667,64.6923076923077,39,46.5,33.0769230769231,42.7692307692308,37.75,60.4705882352941,41.9166666666667,45.9166666666667,38.6666666666667,75.4166666666667,39.1666666666667,41.3333333333333
