"","loyalty","respect","fairness","social contribution","altruism","self-advancement","caring for others","self-control","sanctity","obeying rule","sacrifice","duty","empathy","temperance","material cost","competence","love","courage","justice","autonomy","indignation","honesty","warmth","passion","gratitude","nobility"
"Provide wise advice",44.1666666666667,44,39.25,45.9444444444444,63.6111111111111,45.125,62.3888888888889,39.875,29.8125,36.5625,45.7777777777778,42.1875,54.1111111111111,25.375,24,52.3888888888889,31.3125,35.125,43.8333333333333,65,31.3888888888889,51.8333333333333,61.1666666666667,52.8333333333333,68.5,52.3333333333333
"Explore unknown eagerly",42.1875,49.3125,34.2666666666667,52.5625,42.625,72.4666666666667,45.625,37.1333333333333,37.1333333333333,34.7333333333333,57.8125,45.6666666666667,58.1875,31.7333333333333,53.4375,66.75,44.6666666666667,63.4,47.3125,73.4705882352941,36.5,41.8125,53.8125,77.125,45.4375,50.1875
"Sponsor child education",55.0555555555556,56.7777777777778,72.1875,79.6111111111111,87.5,41.125,82.7777777777778,48.875,56.3125,63.1875,80.4444444444444,42.75,85.0555555555556,45.8125,86.8333333333333,63.2777777777778,81.1875,55.625,68.4444444444444,58.4117647058824,41.1111111111111,47.7222222222222,79.1666666666667,74.8888888888889,85.7777777777778,80.4444444444444
"Be willing to contribute",62.9473684210526,64.4210526315789,44,77.7368421052632,76.2105263157895,50.9333333333333,70.5789473684211,47.9333333333333,53.3333333333333,53.6666666666667,83.0526315789474,61,61.4736842105263,42.4666666666667,66.3684210526316,68.2631578947368,72.2,59.2666666666667,58.6842105263158,79.9411764705882,28.3157894736842,43.3157894736842,81.9473684210526,72,80.2631578947368,86.6842105263158
"Offer condolences",59.8421052631579,69.5263157894737,47.0625,49.4210526315789,69.8947368421053,38.0625,83.9473684210526,35.375,47.9375,40.5625,57.6842105263158,64.5625,83.2105263157895,38.8125,54.5263157894737,49.7894736842105,68.5625,31.25,56.3684210526316,59,33.8947368421053,51.7894736842105,83.8421052631579,48.2105263157895,70.8421052631579,53.1052631578947
"Speak frankly",50.9333333333333,52.8666666666667,44.5833333333333,46.6666666666667,51.3333333333333,33.8333333333333,42.6666666666667,37.9166666666667,26.1666666666667,38,49.1333333333333,31.75,45.8666666666667,24.0833333333333,38.0666666666667,49.8666666666667,31,57.1666666666667,68.0666666666667,72.8235294117647,50.9333333333333,65.6666666666667,44.4666666666667,47.4,50.2666666666667,47.1333333333333
"Charity",53.1666666666667,66.8333333333333,49.4615384615385,80.3888888888889,85.1666666666667,36.4615384615385,77.6111111111111,39.2307692307692,62.6923076923077,47.1538461538462,82.5,41.2307692307692,69.4444444444444,37.5384615384615,71.4444444444444,67.8333333333333,75,38.1538461538462,82.3888888888889,65.1764705882353,47.3888888888889,58.7777777777778,80.5,80.3333333333333,75.5555555555556,81.9444444444444
"Innovation",77.8571428571429,80.8571428571429,27.4166666666667,84.3571428571429,78.7857142857143,71.4166666666667,65.9285714285714,42.1666666666667,33.5,47.5,79.8571428571429,53.5,69.2142857142857,37,82.7857142857143,85.5714285714286,40.5,43.1666666666667,65.9285714285714,60.4117647058824,51.5714285714286,74.0714285714286,64.2857142857143,81,71.7857142857143,83.6428571428571
"Learn from history",54.75,59.5,38.5714285714286,57.125,52.25,44.6428571428571,37.6875,28.7142857142857,24,49.9285714285714,46.125,41.2142857142857,42.9375,48.5,49.125,56.8125,18.9285714285714,28.6428571428571,54.5625,68.5882352941177,53.5625,49.625,46.25,50.5,48.5,62.4375
"Be humorous",36.3888888888889,42.5555555555556,29.3333333333333,29.3888888888889,40.5555555555556,29.6666666666667,45.4444444444444,34.4666666666667,26.8666666666667,34.5333333333333,43.5,28,50.2777777777778,34,30.7777777777778,48.1111111111111,33.6666666666667,24.8666666666667,39.5555555555556,77.5882352941177,28.9444444444444,40.3333333333333,55.2222222222222,53.8888888888889,45.2777777777778,43.9444444444444
"Be humble",34.7333333333333,42.7333333333333,34.25,41.8666666666667,35.2,58.1666666666667,41.6666666666667,40,26.5833333333333,40.9166666666667,36.1333333333333,34.4166666666667,54.4,45.5,37.2,43.9333333333333,35.25,31.8333333333333,43.1333333333333,71.5882352941177,37.6666666666667,54.2666666666667,38.4666666666667,46.3333333333333,36.9333333333333,38.8
"Help others willingly",58.9444444444444,56.3888888888889,50.8235294117647,65.5555555555556,77.6111111111111,41.2941176470588,82.7777777777778,46.7058823529412,52.2941176470588,52.8823529411765,65.0555555555556,42.5294117647059,74.4444444444444,42.4705882352941,62.8333333333333,59.4444444444444,62.8235294117647,53.4705882352941,72.2222222222222,66.0588235294118,43.1111111111111,54.6111111111111,77.4444444444444,76.8333333333333,81.3888888888889,77.7777777777778
"Empathize with others",45.7777777777778,60.5555555555556,57.8666666666667,59.3888888888889,60.9444444444444,53.6,70.2777777777778,55.8,49.1333333333333,52.8666666666667,60.6666666666667,49.1333333333333,79.9444444444444,53.4666666666667,45.5555555555556,61.6666666666667,61.8666666666667,43.6666666666667,59.3333333333333,54.0588235294118,48.6666666666667,62.8888888888889,72.8888888888889,61.5,56.2777777777778,62.5
"Uphold academic integrity",63,55.625,75.0833333333333,64,45.9375,67.6666666666667,41.5,60.8333333333333,38.1666666666667,68.9166666666667,49.3125,89,62.25,62.5833333333333,42.0625,61.625,20.25,31.9166666666667,62.8125,76.4117647058823,40.25,83.5625,49.125,48.1875,48.3125,50.625
"Be an honest official",76.6,46.6,67.3076923076923,77.2,52.9333333333333,44.9230769230769,33.2,82.6923076923077,63.5384615384615,89.5384615384615,61.4,93.6153846153846,46.2666666666667,77.0769230769231,32.0666666666667,69.8,66.2307692307692,50.9230769230769,82.2,60.3529411764706,37.2,68.4666666666667,39.8,48.6,55.7333333333333,74.4
"Dedicate oneself to work",74.5,49.125,27.9375,87.6875,69.75,49.875,53.375,32.3125,38.25,50.25,77.125,51.5,49.75,34.75,48.0625,90,65.5,57.5,47.625,56.6470588235294,29.8125,41.125,54.1875,73.9375,62.25,75.4375
"Give directions",47.7,56,38.2105263157895,61.2,80.25,35.1052631578947,71.6,38.4210526315789,39,45.8421052631579,48.85,44.2631578947368,68.8,38.2105263157895,37.05,48.35,52.5263157894737,44.1052631578947,59.8,65.1176470588235,35.3,56.05,72.3,64.7,77.9,63.5
"Share food",29.7894736842105,38.3684210526316,40.6,40,66.8947368421053,27.1333333333333,61.3684210526316,31.2,38.2,36.0666666666667,52.2631578947368,29.9333333333333,55.6842105263158,37.6,59.3157894736842,45.8947368421053,51.7333333333333,31,44.2631578947368,48.5294117647059,31.7894736842105,33.2631578947368,62.4210526315789,57.5789473684211,64.8421052631579,50.5263157894737
