"","anger","betrayal","callousness","challenging authority","contempt","deception","desire","disgust","harm to others","harm to the self","hedonism","irresponsibility","norm violation","self-indulgence","sense of dirtiness","unjust-gain","harm to society","disrupting social order","psychological harm","self-interest","fairness violation","strategy","shame","guilt","autonomy violation","injustice","hate","impulsivity"
"Abuse",0.898018850096583,-0.95090741550483,0.580367001671356,-0.693112008665422,1.05375772464508,-1.17892827689044,0.362766930295583,0.824942692304636,0.903736722398397,-0.644705628685305,0.565464116442471,0.957390009767544,0.815384243446187,-0.373667921284066,0.467961866832484,-0.893408844593659,0.356329823186584,0.0265731219804345,1.06993689928621,-0.544354177361543,0.68524565869168,-0.0448222031149074,-0.155553283554047,0.484522006382928,1.70146427342574,0.997825205353169,1.50398900725123,0.385851115162999
"Arson",0.778273895039164,-0.0500236660554642,0.132741480108401,0.544144165634906,-0.462335402852685,-0.927092100122198,-0.588881740795906,-0.174362703657653,0.890574919637558,0.790150327965601,-1.0415801461086,0.799687481663771,0.866813624240293,-0.109017343242801,0.491873391272873,-0.973289961559427,0.984635310368487,1.00426106207076,0.376054894500948,-0.973986950506529,-0.461711040449453,0.40727443275451,0.681950744720117,0.852335246779864,0.376597758658886,0.344130848359429,1.57076656760511,0.993354282400082
"Be arrogant",-1.71127210240461,-1.3437169964937,-0.936263192599666,-1.53903594014256,-0.185849820422537,-0.265419080126725,-0.00672126999951158,-0.561422003404595,-1.6340538395619,-0.807900094446125,-0.0167114852378153,-1.76106860917242,-1.86495350464511,-1.36692441171054,-1.68673216885139,-0.672996132965891,-1.59550959829651,-1.68116300086296,-0.880426855422941,0.0250031118936418,-1.66445562882959,-0.777081754242797,-0.75663690384665,-1.07915582074045,-1.54837630379134,-1.86982872387989,-1.31683293706269,-1.39137334032664
"Be jealous",-1.01892098441636,-1.34026664206609,-0.206247652698609,-1.69745840513431,-0.489938185337019,-1.29399135765523,-1.4881090867849,-1.10980799355775,-1.28550980348783,-1.36990103590995,-1.4118934606022,-2.28834011311447,-2.02741911562113,-1.80866216666337,-1.00199909814038,-1.58095702990616,-1.51531639315571,-1.90621399655121,-0.301753794614022,-1.04488842641178,-1.71128705006872,-1.31583024532052,-0.665907300783615,-1.09141626208702,-0.846766886025025,-1.14216368964739,-0.220870833998446,-1.4494749090638
"Be lazy",-1.89936292360893,-1.39677959005115,-1.08129425475736,-1.21406479676182,-1.24510087628903,-0.887825289951438,-1.10368603603325,-1.96934122235762,-1.5272863976815,-0.470690660303386,-0.300060590735767,-1.61642682217474,-1.75221963501465,-0.484002920728322,-1.58619402732148,-1.006367028626,-1.21758955201264,-1.58637022653557,-1.28069651430983,-1.29505716776034,-1.58166469985797,-1.06145887727304,-1.01723796481846,-1.32329852233726,-1.27912923788711,-2.35597089568629,-0.934912000022147,-1.18762349520763
"Be rude",-0.862957716247828,-1.8066559791232,0.274586450577701,-1.82028031619534,-0.352473582019514,-1.38994962501003,-2.12298957969292,-1.53371745951347,-1.37296267072096,-1.88824745778276,-1.5704157980024,-2.51846753946732,-2.12934893929681,-1.04921302641755,-1.23358221234554,-1.45815566199926,-1.82208474179674,-1.59950881060581,-0.261540178427604,-1.8332524967965,-1.65276925582312,-1.69785190263018,-2.17428695170656,-1.9422908915386,-1.32756521799687,-1.10087773025831,-1.67767944780233,0.0617761886983706
"Be tardy",-1.424307551017,-0.940715599349443,-1.29733486150831,-0.846249160650536,-1.32365207818475,-0.780332397108984,-1.73157701892761,-1.06176086613952,-1.6885534524753,-0.757309810060271,-0.996398070995342,-1.54395681343158,-2.0173696963855,-0.524224694569763,-1.97133244641299,-1.22409130974719,-1.44279044079911,-1.71596642621847,-1.93526768087932,-1.61151693073141,-1.49603437079526,-1.01039101814753,-1.23977204015731,-1.2017602342061,-1.41838268070266,-0.0756097387628668,-1.90053089800178,-1.48536117210734
"Bestiality",0.487556196664467,-0.494523883252585,1.59222637394392,-0.740955287024821,1.1933468617037,0.0192091523385711,1.7034245297495,0.69383752303926,-0.802394219795854,0.0507907856894859,1.3664190843593,0.0417346947470782,0.867232350041778,1.73523393981339,1.75130744915073,-0.700306872768847,-0.462633880795343,-0.00831510113959925,1.13958198738477,0.152769720900811,-0.10337455646101,0.121268913913055,1.20138798578575,-0.0161034357500952,0.259069277510213,0.602168094541169,0.180220405423041,1.77964793872909
"Binge eating",-2.06514765382429,-1.47476754034583,-0.970923214256409,-1.30854128990593,-1.48075448197618,-0.986540588658647,0.0774667997868474,-1.73113382791973,-1.59373868800053,1.05138834285761,0.183448360467956,-1.44000484872977,-1.56137729856879,0.364600830698659,-1.43636211471682,-1.01517291802324,-1.46220660156221,-1.46164794282076,-1.20358230446005,-1.13025906725052,-1.39708779584066,-1.10523803577845,-1.3188708802745,-1.38488427304202,-1.35392008952718,-1.1235850079223,-1.30999524044199,1.20771062147266
"Bribe",-0.250897707329338,-0.3302986103286,-0.686451979808219,0.443914913799156,0.168820757833884,0.926219534083133,0.567971775568608,0.584005295806237,-0.149573104100971,-0.0878045142765047,0.0314941378312529,-0.438043603876659,0.358480501238011,-0.483448901804886,0.72062697508592,0.537160523924245,0.203947687789594,0.656355519408286,-0.331979715277016,1.13193773808336,1.13855530845597,0.260343026096949,0.139317926400815,-0.000236982242776204,0.276520476226228,1.81666339990322,-0.57997057181985,-1.19698941550746
"Bully",0.963334280127902,1.26035269677998,0.667566778599205,-0.0572313453795961,0.605521495645739,-0.931434103169927,0.550946046048138,0.841784918079281,1.41265976248417,0.157457937631343,0.534658156137978,0.0611196765096536,0.402027984592408,0.520262920099762,0.683165586795978,0.167868852237261,1.01496729940485,0.147046517441801,1.00200439532122,0.628688113360161,1.60376284929018,-0.35306990938951,-0.432976492919864,0.111050100749117,1.07108423817377,0.710074579308078,1.64026974266732,0.335866677352353
"Cheat in exams",-1.20613587153739,-0.336213503633066,-1.1776773898351,0.214291340945941,0.0688465008756983,0.667508519155993,-0.334839934529958,-1.06419363208475,-1.1856994658848,0.101909052170449,-0.658217084541571,0.099889640034804,0.0667681928704196,0.19827138348289,-0.776632980289724,-0.32821824320491,-1.0259422486136,-0.844542199047911,-1.34651931318274,0.227214791638535,0.798275623856003,0.576468173754126,-0.155553283554047,-0.484524415432075,-1.01771740405946,0.0267450355558899,-1.93785667720186,-0.609565466878072
