,Perpetrator Capacity,Aggressiveness,Anger,Autonomy violation,Betrayal,Callousness,Challenge authority,Coldness,Contempt,Vice Investment,Deception,Deliberateness,Lust,Disgust,Disrupt social order,Fairness violation,Guilt,Harm to life,Harm to others,Harm to property,Harm to society,Harm to the environment,Harm to the self,Hate,Hedonism,Impulsivity,Injustice,Irresponsibility,Norm violation,Oppression,Perceived harm,Psychological harm,Self-indulgence,Selfish,Sense of dirtiness,Sexual relevance,Shame,Premeditation,Risk,Unjust-gain
Abuse,49.3846153846154,76.1538461538462,80.1538461538462,69.7857142857143,38.9230769230769,65.8461538461538,46.9230769230769,81.3846153846154,73.0769230769231,50.4615384615385,31.5384615384615,78.8461538461538,64.2307692307692,81.3846153846154,61.4615384615385,70.9230769230769,65.9230769230769,79.7692307692308,79.3846153846154,44.6153846153846,68.5384615384615,24.6153846153846,41.0,73.6470588235294,59.0,49.0,74.5555555555556,74.4117647058823,79.1764705882353,56.8461538461538,66.6666666666667,77.3076923076923,51.7692307692308,51.5384615384615,68.7692307692308,39.3076923076923,57.0,52.5384615384615,62.0,35.1538461538462
Arson,56.2307692307692,81.5384615384615,78.4615384615385,52.0714285714286,51.6153846153846,59.9230769230769,66.2307692307692,75.4615384615385,55.3846153846154,64.2307692307692,36.0,74.3846153846154,50.6153846153846,67.6923076923077,77.6923076923077,52.3846153846154,70.9230769230769,90.3076923076923,79.1538461538462,74.2307692307692,79.6923076923077,73.6153846153846,60.5384615384615,74.8,34.9230769230769,56.9,64.0,71.7,80.2,38.2307692307692,88.6666666666667,66.3076923076923,55.2307692307692,44.6923076923077,69.1538461538462,17.1538461538462,69.3076923076923,61.0,80.5384615384615,33.5384615384615
Be arrogant,41.3888888888889,31.9444444444444,43.2777777777778,26.3333333333333,33.3888888888889,45.7777777777778,33.7222222222222,44.2777777777778,58.6111111111111,35.6666666666667,47.7222222222222,59.6666666666667,58.9444444444444,62.3888888888889,33.1111111111111,32.9444444444444,44.6666666666667,25.7222222222222,34.8888888888889,37.8333333333333,33.8888888888889,21.8888888888889,38.7777777777778,24.9444444444444,50.2777777777778,25.8888888888889,28.25,27.6666666666667,25.8333333333333,31.0,28.8333333333333,46.3888888888889,38.7777777777778,60.6111111111111,34.1111111111111,24.4444444444444,48.1666666666667,38.8333333333333,30.0,39.6111111111111
Be jealous,27.0,50.875,53.0625,35.7142857142857,33.4375,55.4375,31.25,43.375,55.0625,23.125,29.5,58.8125,37.75,54.875,29.375,32.1875,44.5,32.875,41.0,32.625,35.3125,21.0625,31.125,43.8666666666667,29.375,25.1333333333333,40.0,18.6,22.6,18.625,43.6363636363636,55.5625,33.0,43.5625,45.125,17.8125,49.5,28.75,28.375,21.25
Be lazy,33.695652173913,33.4565217391304,40.6195652173913,29.9333333333333,32.6413043478261,43.8586956521739,38.7934782608696,35.9021739130435,46.25,38.2826086956522,36.695652173913,47.1739130434783,43.25,43.0978260869565,34.6847826086956,34.2826086956522,41.3478260869565,36.75,36.7608695652174,34.1521739130435,40.5978260869565,34.5217391304348,43.3695652173913,31.5384615384615,46.0326086956522,28.5384615384615,20.4,30.1538461538462,28.0769230769231,35.2173913043478,21.4,40.0434782608696,50.3260869565217,39.5760869565217,35.7282608695652,27.3695652173913,44.3369565217391,33.5108695652174,35.3913043478261,32.8695652173913
Be rude,32.5333333333333,40.1333333333333,55.2666666666667,29.2857142857143,26.8666666666667,61.8,29.3333333333333,40.6,56.6666666666667,26.7333333333333,27.8,48.1333333333333,28.6666666666667,49.0666666666667,34.4666666666667,33.1333333333333,32.9333333333333,24.1333333333333,39.4666666666667,27.9333333333333,29.8666666666667,22.4,24.0666666666667,18.7142857142857,27.0,44.7857142857143,40.6666666666667,14.6428571428571,20.5714285714286,29.8,45.0833333333333,56.2,42.9333333333333,31.0,41.4,29.6666666666667,27.3333333333333,21.6,32.8666666666667,23.7333333333333
Be tardy,29.1333333333333,30.5333333333333,47.3333333333333,28.0714285714286,39.0666666666667,41.0,44.5333333333333,34.5333333333333,45.3333333333333,34.2666666666667,38.6,50.5333333333333,34.2666666666667,55.5333333333333,32.5333333333333,35.6666666666667,43.0,26.1333333333333,33.9333333333333,26.4666666666667,36.6,27.3333333333333,39.4666666666667,14.8666666666667,35.6,24.6666666666667,57.2222222222222,31.4,22.8,29.0666666666667,53.3333333333333,29.6666666666667,49.8,34.5333333333333,29.5333333333333,20.7333333333333,41.0666666666667,34.4666666666667,31.2666666666667,28.4666666666667
Bestiality,56.3529411764706,62.1764705882353,74.3529411764706,50.5,45.3529411764706,79.2352941176471,46.1764705882353,78.0,74.7058823529412,41.6470588235294,52.7647058823529,76.8235294117647,83.4117647058823,79.5882352941177,60.8823529411765,58.1764705882353,59.1176470588235,75.1764705882353,49.4705882352941,38.4117647058824,54.0,62.1176470588235,50.4705882352941,50.7916666666667,71.0,67.125,68.1666666666667,58.6666666666667,80.2083333333333,74.7058823529412,65.6666666666667,78.4117647058823,79.3529411764706,62.6470588235294,89.4117647058823,80.1764705882353,76.9411764705882,55.6470588235294,57.1764705882353,39.0588235294118
Binge eating,34.7021276595745,37.2978723404255,38.2765957446809,28.9333333333333,31.5425531914894,45.3191489361702,37.3191489361702,35.9468085106383,43.5,41.7446808510638,34.9468085106383,49.8191489361702,60.1489361702128,46.3617021276596,36.7553191489362,37.2659574468085,40.5106382978723,46.7340425531915,35.5957446808511,39.9042553191489,36.2553191489362,37.6170212765957,64.0957446808511,25.0625,53.2765957446809,59.6875,40.3,33.1875,31.875,30.6808510638298,40.2,41.2659574468085,61.4255319148936,42.2021276595745,38.1382978723404,29.1595744680851,39.9042553191489,32.6914893617021,42.7659574468085,32.6914893617021
Bribe,58.25,45.1666666666667,63.9166666666667,50.7333333333333,47.6666666666667,49.0833333333333,64.6666666666667,42.25,62.75,72.6666666666667,68.8333333333333,80.6666666666667,67.1666666666667,78.0833333333333,71.9166666666667,78.25,59.3333333333333,45.3333333333333,60.9166666666667,78.0,65.8333333333333,43.9166666666667,48.5833333333333,37.6666666666667,51.0,28.4166666666667,87.7777777777778,50.4166666666667,70.0833333333333,48.9166666666667,68.4444444444444,55.0833333333333,50.3333333333333,78.25,72.8333333333333,37.0833333333333,61.3333333333333,58.25,64.8333333333333,64.0833333333333
Bully,55.0,80.0769230769231,81.0769230769231,61.3571428571429,70.0769230769231,67.0,56.8461538461538,64.3846153846154,67.8461538461538,60.3076923076923,35.9230769230769,83.1538461538462,66.9230769230769,81.6153846153846,63.4615384615385,85.7692307692308,60.8461538461538,67.3846153846154,88.3076923076923,64.2307692307692,80.2307692307692,27.5384615384615,51.9230769230769,76.0,58.5384615384615,48.35,69.9090909090909,59.0,70.95,80.0,78.7272727272727,76.2307692307692,63.4615384615385,70.2307692307692,72.2307692307692,46.8461538461538,52.9230769230769,46.7692307692308,63.9230769230769,56.6153846153846
Cheat in exams,43.6666666666667,34.3333333333333,50.4166666666667,33.4285714285714,47.5833333333333,42.5833333333333,61.0833333333333,42.25,61.5833333333333,47.0,64.25,58.5,54.25,55.5,47.0,72.75,52.75,27.6666666666667,42.75,38.6666666666667,44.0,32.3333333333333,51.1666666666667,14.2222222222222,40.6666666666667,36.0555555555556,58.875,59.6666666666667,64.2777777777778,36.3333333333333,30.875,39.0,59.25,63.8333333333333,48.75,32.0,57.0,64.1666666666667,47.5833333333333,46.5833333333333
Commit terrorism,75.4285714285714,75.5714285714286,81.9285714285714,54.0,49.0,60.5,83.4285714285714,65.7857142857143,38.5,86.5,52.7857142857143,76.3571428571429,58.4285714285714,70.6428571428571,90.6428571428571,71.4285714285714,57.1428571428571,74.9285714285714,78.3571428571429,57.9285714285714,89.5714285714286,48.4285714285714,62.2142857142857,84.0555555555556,44.6428571428571,41.3888888888889,71.9090909090909,73.8888888888889,73.8888888888889,57.1428571428571,89.6363636363636,76.4285714285714,56.6428571428571,57.7142857142857,62.8571428571429,36.6428571428571,60.5,87.7857142857143,75.2857142857143,59.5714285714286
Conceal criminal proceeds,64.3846153846154,58.3076923076923,85.1538461538462,50.2,50.2307692307692,53.3076923076923,64.2307692307692,40.3846153846154,69.0,45.2307692307692,83.0769230769231,82.3076923076923,60.7692307692308,71.6923076923077,65.0769230769231,69.3846153846154,72.9230769230769,55.2307692307692,66.6153846153846,67.6153846153846,64.1538461538462,43.2307692307692,56.2307692307692,49.6153846153846,47.0,34.4615384615385,75.7272727272727,58.9230769230769,74.3076923076923,47.7692307692308,72.0909090909091,40.0,53.3846153846154,78.0769230769231,67.4615384615385,37.1538461538462,59.1538461538462,79.3076923076923,83.0,80.5384615384615
