"","ability","aggressiveness","anger","autonomy violation","betrayal","callousness","challenging authority","coldness","contempt","cost","deception","deliberateness","desire","disgust","disrupting social order","fairness violation","guilt","harm to life","harm to others","harm to property","harm to society","harm to the environment","harm to the self","hate","hedonism","impulsivity","injustice","irresponsibility","norm violation","oppression","perceived harm","psychological harm","risk","self-indulgence","self-interest","sense of dirtiness","sexual relevance","shame","strategy","unjust-gain"
"Kidnap","65,75,100,83,100,100,76,31,100,68","80,50,100,100,84,100,9,89,100,97","100,68,100,100,100,100,72,22,100,77","97,94,100,5,100,90,70","50,77,100,60,100,95,75,72,50,72","100,52,100,100,100,100,65,84,100,100","55,34,81,94,100,0,82,41,100,72","95,55,100,95,100,90,10,100,100,100","100,20,97,0,100,90,19,21,100,100","100,100,100,85,100,95,60,36,100,100","80,45,89,69,90,100,70,75,100,69","90,58,100,94,100,100,82,81,100,100","100,23,100,65,100,86,70,2,0,24","95,89,100,100,100,100,76,88,100,100","60,56,100,0,100,56,62,51,100,89","100,100,100,100,100,60,10,96,100,94","100,50,100,100,100,90,83,95,100,91","85,71,100,95,90,75,20,84,100,100","99,50,100,100,100,60,84,95,100,93","80,62,0,11,100,70,70,1,30,78","35,62,100,8,70,10,70,21,100,100","25,78,27,0,20,0,20,1,0,77","20,32,0,0,15,0,70,8,0,84","50,93,77,50,50,97,54","50,41,100,41,50,0,64,61,0,90","100,86,59,0,20,0,61","100,100,96","100,92,79,100,100,98,70","100,94,93,100,100,100,32","100,80,100,100,100,100,78,100,100,100","100,100,96","100,83,100,100,100,100,86,90,100,99","90,52,100,100,100,100,60,100,100,79","100,28,19,0,100,10,9,78,40,91","70,48,100,58,100,100,82,81,100,93","85,55,100,0,70,20,72,70,66,100","50,77,12,41,10,0,71,37,0,89","100,45,97,100,100,90,65,8,70,96","80,30,100,100,100,100,71,86,100,100","100,66,100,53,100,100,60,85,100,89"
"Kill pets","29,56,5,32,100,16,87,100,100,63,12","100,96,100,15,100,80,97,100,100,100,96","100,97,100,65,100,100,85,100,100,100,97","68,79,0,7,90,100,60","100,93,100,94,100,74,84,100,100,68,75","69,97,99,100,100,91,90,100,100,100,98","31,58,52,28,0,20,86,100,0,70,52","84,97,100,100,100,100,77,100,100,100,100","0,18,100,55,53,100,88,0,100,34,100","52,97,0,70,60,45,85,100,2,21,3","1,93,0,77,100,42,90,100,59,56,11","50,96,100,58,100,100,84,100,100,48,95","60,86,11,14,100,61,82,100,13,34,73","100,99,100,100,100,83,83,100,100,100,100","55,96,34,66,12,53,79,100,84,51,36","3,94,100,100,60,86,100,100,95,100,94","20,93,100,100,100,89,78,100,100,96,80","100,100,100,100,100,100,100,100,100,100,95","31,97,100,100,100,62,88,100,91,100,94","78,95,100,83,100,34,86,100,0,100,96","50,70,39,100,86,57,90,100,51,79,33","0,88,90,100,0,50,89,100,0,8,69","0,96,2,13,15,15,77,100,8,17,6","29,94,100,100,100,100","0,91,0,63,100,82,83,100,9,11,79","26,81,84,51,50,79","100,75,72","58,86,100,100,90,100","72,91,100,84,90,53","0,95,100,100,100,11,93,100,84,43,87","50,82,100","100,97,100,62,100,94,89,100,100,100,83","79,74,29,59,100,19,92,100,7,79,85","29,94,7,47,100,61,82,100,81,51,69","50,55,50,12,52,28,83,100,1,8,4","0,94,84,81,100,100,88,100,24,62,100","0,57,0,37,26,9,0,0,0,0,26","100,100,87,52,67,86,83,100,100,100,95","0,67,0,29,100,26,78,100,0,32,82","20,3,0,6,0,1,77,0,0,0,13"
"Leak national secrets","100,50,100,4,80,100,96","100,33,90,74,20,20,92","100,84,80,7,98,100,97","70,40,80,93,100,50,92,100","100,95,100,100,100,100,100","100,82,50,100,70,30,34","100,79,100,100,82,100,100","94,34,80,41,50,30,27","99,91,100,100,79,95,100","100,52,80,1,80,100,89","100,90,100,100,75,100,96","100,65,100,100,90,100,90","100,60,100,0,70,100,71","100,67,100,100,76,90,98","100,75,100,100,75,80,89","100,95,100,94,80,80,91","99,80,100,100,58,100,96","93,59,70,84,40,70,0","100,50,75,76,55,70,74","50,42,75,100,40,80,57","100,96,100,100,52,85,92","100,11,70,30,5,0,0","100,21,100,71,65,100,1","80,100,58,84,65,10","100,20,0,1,10,5,0","50,4,2,18,88,90","59,95,53,82,23,54,100,90,30,100,41,12,65,0,33,71,50,59,100,63,59,86,0,100,93,100,32,48,58,47,65,95,97,5,100,72,100,90,83,60,44,0,77,66,46,90,0,53,17,100,100,50,88,56,82,100,74,0,100,99,67,100","50,100,93,100,93,100","100,100,73,100,100,90","100,41,60,100,35,10,75","96,94,93,75,26,76,100,85,25,77,62,0,58,0,1,17,75,65,100,71,56,87,74,100,93,100,18,47,79,79,81,97,98,18,100,54,100,47,73,85,74,0,91,75,25,94,88,56,57,93,89,68,91,39,81,100,84,0,100,10,67,100","100,29,85,88,70,70,29","81,90,100,100,88,100,100","98,73,5,2,20,10,9","100,91,75,86,70,90,86","100,29,100,62,15,50,18","100,0,0,1,0,0,0","89,91,100,100,66,100,96","100,41,100,20,83,100,86","100,75,80,100,35,100,96"
"Leak user information","43,100,100,98,100,29,75,75,0","54,100,1,77,100,0,42,15,0","85,75,100,100,50,100,100,17,0","28,80,0,9,100,1,20","80,100,100,100,100,100,100,51,24","77,68,2,50,80,100,100,50,47","78,100,100,50,20,28,64,87,5","87,84,87,85,100,23,100,79,0","89,89,100,100,50,0,82,74,8","61,100,70,92,50,9,70,4,63","49,100,100,36,100,0,100,82,12","83,91,83,100,100,50,100,91,0","41,79,50,100,80,95,67,0,0","91,77,36,80,90,100,24,73,20","48,100,100,100,100,0,100,67,25","87,49,85,100,100,100,73,81,69","98,55,86,59,50,90,61,34,0","16,30,0,100,5,0,37,0,61","99,100,50,100,100,100,87,67,95","53,98,0,100,25,90,100,0,42","68,100,100,100,60,85,84,81,59","10,22,60,85,1,0,7,0,0","10,76,4,68,1,30,21,0,2","32,91,0,60","15,30,3,75,20,100,21,8,1","14,52,0,5","84,93,69,65,85","33,100,50,90","38,79,20,80","62,74,6,100,80,0,76,0,25","71,85,48,85,86","96,61,70,100,50,50,100,75,66","79,66,100,98,100,91,100,31,4","21,100,100,67,10,0,34,0,8","36,53,100,100,100,0,55,59,0","53,66,1,100,80,55,10,23,22","12,0,50,100,0,0,0,0,23","85,68,69,85,10,70,60,7,2","74,89,81,100,100,100,75,49,21","63,100,71,48,80,100,100,64,0"
"Lie to friends","5,11,16,15,20,0,20,62,7,51,30","0,2,88,2,10,10,25,39,3,66,53","30,79,93,39,60,73,42,55,0,78,64","21,50,20,98,32,31,14,29","57,40,100,91,100,99,25,100,99,68,59","15,16,100,80,24,51,19,71,37,72,81","5,6,31,0,0,0,19,50,8,25,5","25,3,100,50,69,61,17,92,68,36,67","38,48,94,49,53,32,57,100,35,35,80","3,13,51,14,0,6,40,98,68,6,41","100,80,100,100,100,99,90,100,85,74,94","10,66,100,100,18,69,55,70,37,72,96","30,3,49,30,0,0,64,41,37,50,36","15,3,93,35,80,11,30,85,31,53,82","10,29,91,4,0,38,66,32,86,40,47","75,28,76,8,0,28,100,53,100,50,49","3,41,76,90,36,94,36,100,33,71,65","5,2,68,0,10,0,33,77,99,37,9","5,43,83,0,40,11,21,100,100,60,44","5,3,31,0,0,0,27,8,32,41,12","0,7,62,9,0,4,43,57,83,32,32","0,0,11,4,0,0,73,47,0,34,4","9,71,31,22,0,56,35,100,55,28,53","27,20,41,23","1,0,49,0,0,0,12,3,9,28,42","65,24,35,65","42,2,28,92,5,36,54,28,20,8,65,3,60,0,22,17,20,9,16,52,53,2,10,100,7,12,61,71,25,13,14,89,100,15,19,0,83,3,66,3,82,0,13,59,34,25,0,45,56,16,59,64,76,8,83,100,5,0,72,81,31,0","41,52,34,82","15,75,56,56","0,18,85,2,5,0,13,48,10,24,25","18,4,26,73,6,44,0,17,22,0,74,0,59,0,15,0,40,32,23,83,12,12,64,100,6,9,41,62,21,0,17,90,100,9,22,0,75,20,58,4,83,14,11,78,21,18,29,45,36,0,61,32,85,34,45,100,5,0,65,64,53,100","10,12,97,80,100,24,49,100,100,67,41","0,5,54,0,21,19,55,100,31,43,44","10,10,79,24,10,7,85,2,31,67,46","80,72,99,17,47,92,70,91,95,56,65","9,0,87,10,32,0,75,0,78,34,41","0,3,0,0,30,0,10,54,51,28,3","25,32,100,34,32,79,50,100,85,45,77","2,9,54,35,20,54,35,31,42,34,32","10,26,51,15,11,0,20,55,22,20,32"
"Litter","0,0,1,0,43,3,42,0,0","6,0,3,1,18,0,15,0,10","12,0,86,10,38,9,54,0,0","42,91,19,53,70,55,26,75","32,0,5,0,21,2,12,0,14","43,0,15,0,27,7,33,2,50","37,0,7,1,41,10,6,5,0","29,5,47,1,33,10,27,0,7","48,9,78,65,42,37,50,1,7","2,0,2,0,50,12,0,0,0","10,0,22,0,0,17,0,0,20","73,0,88,40,71,2,59,100,47","0,6,2,4,0,34,4,0,0","43,0,29,5,28,43,61,0,0","28,0,8,0,58,1,21,0,0","34,1,18,3,18,6,21,0,9","27,0,22,36,0,3,49,5,0","14,0,29,0,62,9,45,0,19","37,3,17,1,31,4,73,0,0","14,0,34,5,39,6,63,1,40","75,5,70,5,70,53,71,0,51","84,70,100,77,86,99,100,100,50","0,0,2,0,0,2,23,0,0","1,6,0,0,34","6,0,50,0,29,0,0,0,0","57,65,76,37,92","55,11,0,42,10,55,100,22,56,8,7,0,66,0,0,0,0,27,21,40,51,5,5,100,25,0,5,77,62,25,32,93,99,15,1,0,19,0,68,5,36,0,16,61,52,6,29,51,51,50,64,32,22,18,74,0,27,0,96,77,64,0","93,25,84,99,93","36,16,80,16,4","17,0,5,0,16,22,15,0,0","24,16,4,36,18,48,100,84,23,10,39,6,69,0,0,0,70,18,10,51,46,1,5,100,22,9,43,5,18,16,1,92,100,11,4,0,45,17,35,2,79,0,13,74,20,14,36,70,6,0,0,51,20,25,77,32,10,0,100,91,84,100","34,0,2,0,16,8,51,0,0","14,0,16,2,29,2,0,0,16","5,9,10,11,0,1,31,0,0","97,2,26,0,41,6,57,0,0","90,18,66,72,58,12,0,0,0","1,0,1,1,0,0,0,0,0","19,10,89,10,52,8,0,5,8","26,0,3,0,28,9,7,0,0","1,0,1,0,0,21,5,0,0"
"Make a racket","0,20,0,0,44,100,2,0,0","0,31,10,29,51,100,74,20,24","10,29,30,52,43,0,100,55,69","52,45,12,34,60,48,1,5","0,55,0,0,51,56,0,0,0","0,33,0,24,54,72,78,8,64","15,34,100,14,78,36,78,10,80","0,33,3,0,62,0,29,14,72","0,30,17,18,53,69,95,32,14","0,21,0,0,44,49,4,2,0","0,18,0,0,56,66,0,10,0","70,52,100,35,49,100,100,21,51","0,49,0,0,48,0,97,15,0","10,15,100,19,63,99,30,12,1","15,77,48,0,52,0,86,23,78","0,16,23,50,59,0,30,26,21","5,24,0,2,64,5,5,5,7","0,52,0,0,54,0,50,0,23","0,21,11,10,59,100,33,5,16","0,23,0,0,41,0,16,0,12","0,46,0,6,73,0,46,21,89","0,43,0,0,55,0,27,0,4","0,47,0,0,50,0,42,3,0","50,2,0,5,0,9","25,37,3,27,58,50,65,27,16","50,84,47,16,98,80","65,2,0,99,60,7,16,0,61,6,0,3,76,0,0,6,0,15,2,38,45,0,0,100,18,0,2,2,16,12,20,86,100,26,0,0,18,0,58,5,30,0,13,70,26,0,0,53,9,0,0,0,15,5,79,0,8,0,99,89,83,0","60,46,47,85,12,9","50,40,31,41,20,29","0,34,0,0,47,69,82,16,1","15,15,2,46,55,1,0,0,21,3,0,5,65,0,0,0,0,7,29,38,63,0,6,100,57,0,1,2,19,10,1,96,97,19,3,0,8,6,34,0,41,0,12,75,66,0,48,42,5,0,0,6,10,0,67,0,12,0,48,14,53,100","0,28,0,0,56,4,12,13,0","0,27,8,0,46,0,20,5,91","20,29,100,29,55,100,66,10,63","20,49,45,0,47,0,63,77,15","0,17,100,0,42,100,0,6,0","10,8,0,5,46,0,15,16,0","0,21,5,50,59,0,22,19,0","0,20,5,0,48,45,36,3,0","0,6,0,0,45,0,2,0,0"
"Mislead others intentionally","14,9,54,40,53,70,14,32,80,81,70","72,88,16,85,12,81,6,17,74,8,83","82,22,65,95,75,89,58,10,62,40,92","53,64,25,92,16,30,32,9","92,96,69,60,86,75,43,41,87,91,95","90,93,79,100,84,78,96,5,88,83,74","79,60,23,65,43,62,10,23,90,0,31","88,77,92,100,91,82,90,11,94,25,62","15,95,62,65,65,80,87,0,92,22,94","7,60,0,95,54,70,21,0,72,54,87","96,96,100,100,96,95,20,91,93,100,92","72,92,100,90,74,90,88,52,93,100,94","67,38,7,65,6,84,81,45,79,13,49","63,67,53,80,50,70,40,18,100,25,83","78,94,0,85,60,60,2,0,12,67,64","66,89,97,60,95,80,71,37,55,100,50","18,16,9,60,33,85,39,12,96,40,74","86,56,21,85,9,50,3,0,47,2,0","88,90,61,75,68,75,9,22,91,50,50","16,3,0,35,71,29,1,2,30,5,71","87,90,62,100,36,70,18,6,82,70,90","76,7,13,80,0,30,7,0,8,17,0","25,5,0,70,15,53,11,7,25,0,15","17,42,45,30,37,20","90,3,7,55,63,40,100,0,6,82,36","58,2,0,5,72,15","77,13,39,83,26,51,100,82,37,12,0,7,62,0,12,7,60,8,30,20,54,37,54,100,16,14,5,64,26,18,42,88,98,9,26,0,89,10,59,15,52,0,13,76,21,25,0,81,84,0,100,58,69,18,71,77,12,0,93,82,32,50","40,97,63,12,60,0","27,74,100,90,62,37","3,81,1,75,8,95,97,0,38,35,51","17,24,32,87,8,44,100,58,17,0,55,0,68,0,16,14,30,43,100,64,16,28,67,100,26,20,25,66,15,16,1,91,99,8,29,22,100,35,53,5,59,16,13,80,21,18,6,51,46,0,100,54,64,26,72,62,8,0,74,28,49,100","91,96,7,50,62,82,49,6,95,56,68","70,74,20,85,8,53,6,65,90,25,32","8,23,0,55,31,51,92,13,97,88,46","94,99,100,100,85,62,23,75,94,100,77","82,18,14,80,50,6,2,7,36,21,80","3,47,0,45,7,15,11,0,14,0,20","72,3,62,90,31,75,8,65,95,95,93","96,73,75,75,72,80,87,50,72,37,51","83,78,55,60,69,70,10,0,96,50,92"
"Mock disabilities","0,0,8,0,3,5,76,10,6,15,10,0","40,4,84,100,72,2,41,35,34,86,65,0","100,70,93,98,71,15,88,52,81,71,80,86","68,48,56,87,95,58,71,97","40,4,41,53,45,16,24,30,5,0,29,0","100,50,100,100,95,3,81,40,90,89,60,88","0,5,51,37,20,6,26,60,13,11,0,0","70,64,100,100,74,50,87,55,68,49,77,80","100,59,100,100,56,13,92,40,72,90,82,50","0,0,100,4,4,22,17,20,14,8,36,48","20,0,5,16,4,8,8,30,26,65,78,0","100,6,100,100,100,100,50,10,45,94,90,77","10,0,0,52,32,43,0,60,7,0,60,21","100,70,100,75,79,44,77,60,78,79,71,81","8,56,63,36,20,13,28,30,4,0,70,0","100,95,100,100,90,4,89,85,92,99,70,20","100,28,61,100,81,62,24,50,77,89,74,50","20,0,81,38,19,18,22,20,3,7,57,25","100,25,100,100,71,10,39,60,23,91,75,36","10,0,9,6,3,21,36,40,3,0,0,0","59,3,97,53,61,32,62,60,60,21,70,0","0,0,61,1,2,8,0,5,3,0,0,0","0,30,21,9,9,8,5,20,4,0,5,10","66,95,95","10,4,61,83,7,61,17,60,21,0,80,62","76,56,66","55,18,35,95,75,87,100,88,67,18,37,12,72,0,65,16,100,18,100,24,47,60,63,100,22,81,69,57,64,31,33,81,100,14,43,10,85,31,41,40,81,0,17,73,40,18,96,43,52,70,67,26,70,100,87,100,34,0,81,91,60,100","90,94,75","96,41,14","76,5,72,100,67,7,95,50,45,38,82,75","19,24,13,80,93,77,100,0,33,40,55,0,75,0,17,5,70,14,100,20,60,33,82,100,53,65,75,58,45,24,36,99,100,14,24,14,85,47,78,30,40,0,62,68,46,60,95,60,11,19,44,35,68,23,66,100,27,0,100,12,98,100","100,43,94,100,77,71,94,70,73,100,63,63","20,8,39,30,14,14,86,20,5,16,50,0","30,73,8,64,30,14,0,90,15,0,81,50","70,0,9,13,70,4,0,20,39,0,39,50","30,19,0,99,63,35,35,40,17,0,4,70","0,0,0,9,5,10,0,2,1,0,0,0","100,49,100,100,63,93,94,75,72,96,81,34","0,2,0,3,7,11,26,10,5,0,25,0","0,0,0,11,4,8,4,5,4,0,0,0"
"Molest minors","89,0,25,34,100,50,100,100,17","96,100,70,95,100,50,100,100,100","100,100,100,80,100,100,100,100,77","100,100,100,9,100,27,95","100,50,90,85,100,99,100,100,98","100,100,100,100,100,100,100,100,100","89,100,50,74,100,0,100,100,57","100,100,100,82,100,52,100,100,100","0,100,100,92,100,50,100,100,52","80,0,80,97,100,100,100,100,19","66,100,80,88,100,51,99,100,26","100,100,100,89,100,50,100,100,100","100,50,100,81,100,100,52,100,75","95,100,100,85,100,100,100,100,100","73,50,70,53,100,46,100,76,100","100,100,100,86,100,97,100,100,98","100,100,100,98,100,49,100,100,82","100,100,100,91,100,100,100,100,100","98,100,100,93,100,0,100,100,100","78,0,0,96,58,66,100,66,3","86,100,10,86,100,100,100,100,100","9,0,0,80,0,95,100,6,100","96,0,10,90,100,50,100,53,72","100,100,100,87,100,100","100,100,70,92,100,62,100,100,71","100,5,59,20,0,69","100,63,100,100","100,100,100,88,100,100","100,100,100,95,100,100","94,100,100,79,85,100,100,100,2","100,53,100,100","100,100,100,90,100,100,100,100,100","87,90,55,89,97,100,100,100,90","0,100,100,95,100,99,100,100,9","70,100,100,73,100,100,0,100,74","100,100,100,91,100,100,100,100,100","100,100,95,92,100,100,100,100,0","94,100,100,92,100,97,100,100,100","92,85,40,63,100,68,66,100,19","47,0,0,3,81,0,0,12,23"
"Money laundering","89,37,80,95,2,100,79,91,96,71","92,21,10,0,0,20,68,35,16,10","82,51,80,6,39,67,40,16,16,68","83,58,0,8,29,34,50","86,18,50,78,21,20,6,93,50,78","89,55,11,8,1,15,100,47,42,55","27,17,75,77,0,89,100,65,62,54","87,49,10,58,100,30,60,29,73,40","87,58,63,8,9,25,51,64,75,75","55,50,70,6,72,74,87,58,81,90","95,78,100,75,97,100,100,87,92,100","92,71,100,56,61,100,100,77,97,97","85,24,60,79,61,80,75,63,11,82","89,41,40,0,3,10,100,45,65,94","88,32,68,12,18,50,100,53,17,32","28,41,50,94,100,52,100,34,80,38","83,65,76,56,7,15,73,84,18,65","19,12,6,0,0,30,30,13,36,7","99,58,25,0,0,16,100,54,27,51","100,26,50,100,100,35,100,75,59,85","95,45,50,4,50,30,55,26,66,59","92,3,0,53,0,1,0,24,13,0","73,25,0,0,3,1,80,17,42,16","59,100,100,30,51","68,56,20,46,1,90,89,48,53,65","49,100,10,37,5","10,64,85,60,100,93","53,6,47,32,85","35,100,100,75,65","92,44,5,21,0,11,97,26,35,19","17,66,15,70,100,90","98,50,10,10,9,20,55,50,11,14","68,55,95,100,67,50,100,74,92,86","95,22,6,4,0,6,56,79,17,75","95,86,97,100,100,100,100,95,88,100","68,28,0,1,10,20,100,26,66,12","25,3,0,4,1,1,20,24,33,0","18,77,70,4,28,40,62,60,69,86","95,66,91,92,38,100,100,98,95,78","92,69,100,100,43,82,100,87,100,100"
"Murder","41,65,67,78,48,66,100,100","32,100,98,100,100,100,100,100","34,100,97,83,100,100,100,100","100,100,0,5,100,91,95","53,5,62,100,100,100,0,100","36,100,97,92,100,100,100,100","45,81,18,21,100,95,0,82","40,100,98,100,100,100,100,100","40,100,95,3,100,100,100,100","37,50,71,91,100,20,100,100","41,53,46,55,100,50,0,100","47,100,98,100,100,100,100,100","49,50,73,90,77,94,90,29","31,100,98,100,100,100,100,100","37,100,23,100,100,100,25,100","48,100,99,100,100,100,100,100","43,100,99,0,100,71,100,100","41,100,99,100,100,100,100,100","41,100,99,100,100,100,100,100","27,26,2,69,100,6,0,100","45,100,10,75,100,90,100,100","34,10,6,9,23,0,0,0","51,23,7,80,100,49,0,100","100,100,100,100,95,100","39,14,32,79,100,1,0,100","0,86,5,0,0,12","100,100,80,68,98,100","100,100,95,100,95,99","100,100,100,100,95,100","41,100,63,2,100,87,100,100","100,100,95,74,69,100","29,40,78,99,100,97,0,100","45,93,92,93,100,100,100,100","33,37,12,86,82,78,0,100","41,93,36,59,86,89,0,100","49,100,73,97,91,100,100,100","46,0,14,7,49,6,0,62","44,100,99,87,100,100,100,100","52,78,47,95,100,72,75,100","46,21,8,4,50,0,0,100"
"Negligent homicide","57,0,4,0,0,65,72,0,100,0","29,28,20,0,17,100,88,63,71,17","51,20,85,16,20,100,80,23,100,100","96,88,100,9,100,95,90","57,0,71,0,4,71,97,48,100,0","34,70,21,0,0,91,59,100,51,100","25,0,0,15,2,0,40,75,60,100","60,15,50,0,50,65,80,73,52,0","95,5,96,20,2,70,3,100,50,100","93,0,0,100,1,25,73,69,100,0","89,0,0,0,1,20,88,51,50,0","15,0,0,0,0,0,1,33,36,0","71,0,2,0,0,0,16,0,100,0","100,75,72,50,8,100,78,100,51,100","40,62,75,25,4,15,73,88,100,100","100,50,76,70,30,95,98,45,82,100","22,93,100,100,100,100,31,91,100,100","92,100,100,50,13,100,99,100,100,100","64,70,92,50,8,100,72,100,74,100","38,32,45,0,0,85,67,57,100,100","49,0,8,30,0,5,43,76,100,100","14,50,6,0,0,0,50,46,0,100","40,60,74,30,70,0,86,100,61,100","99,44,79,35,25","40,0,2,0,0,0,9,4,0,0","96,45,78,83,50","89,100,73","100,48,85,90,80","97,66,69,89,70","36,48,0,39,1,0,22,54,25,0","87,100,74","100,80,88,20,100,0,85,41,62,100","93,41,3,0,0,100,84,54,60,100","83,0,0,0,60,0,88,50,19,0","42,0,1,0,26,5,80,0,50,0","100,41,23,10,0,0,57,46,100,100","78,0,6,0,0,0,0,50,61,0","58,99,79,50,6,100,56,100,100,100","12,20,5,0,0,30,5,0,32,0","9,0,4,0,1,5,1,0,33,0"
"Not return items","0,0,47,12,0,5,32,0,10,41","2,11,66,12,3,5,13,19,0,18","20,2,53,51,61,14,11,12,70,27","60,50,26,53,46,31,11,53","20,41,74,81,62,5,51,57,80,31","20,38,50,57,19,5,6,31,60,30","14,14,64,61,43,20,23,0,70,32","0,50,68,82,53,5,10,31,40,47","40,26,62,49,23,5,0,34,40,16","25,9,56,30,17,5,15,2,30,21","1,68,76,4,63,20,39,52,65,21","13,100,81,8,81,3,33,6,75,28","6,0,60,5,38,0,20,0,100,31","14,17,71,52,49,5,23,9,45,37","0,3,51,5,30,15,0,5,30,29","25,59,74,82,28,10,51,75,30,38","19,16,62,76,54,20,15,13,75,24","0,2,39,5,5,5,0,20,10,23","21,0,74,17,39,8,23,25,40,40","1,83,63,4,6,20,51,13,29,25","2,0,52,5,9,3,6,9,0,31","0,0,39,3,4,5,0,1,20,31","7,9,56,4,10,10,5,0,0,21","13,0,50","1,4,59,18,37,0,0,7,30,26","3,3,70","56,9,1,66,2,67,100,45,48,1,7,10,65,0,0,0,0,57,32,52,51,6,10,100,3,7,35,58,64,16,16,94,100,27,7,0,100,0,78,10,29,0,13,63,78,17,3,82,85,5,82,36,55,13,87,100,4,0,100,93,50,0","64,82,80","92,67,70","1,0,52,4,8,2,0,3,0,29","8,10,8,70,2,26,100,1,30,0,16,6,78,0,0,0,10,7,30,38,51,4,5,100,8,3,14,44,19,10,2,93,100,15,5,0,100,9,59,5,55,0,13,70,89,8,6,33,16,0,0,7,13,30,88,52,4,0,48,14,66,100","8,8,54,22,27,5,6,58,70,18","12,27,80,11,14,0,0,2,35,21","28,12,70,36,62,10,23,7,70,20","100,83,68,95,54,8,74,61,70,36","0,18,63,80,7,5,15,22,30,21","0,0,45,3,0,0,0,0,0,15","34,36,71,36,53,10,38,15,70,22","8,0,63,6,42,10,9,3,30,24","2,21,49,78,30,10,0,7,25,23"
"Online bullying","34,50,82,100,33,1,49,0,58,32","83,100,100,100,76,47,100,100,68,24","61,100,88,100,74,17,100,38,63,22","61,47,50,100,65,40,68,76","74,50,12,51,51,0,100,0,47,18","85,100,92,100,84,58,100,90,77,64","49,0,43,100,64,0,100,0,43,32","77,100,91,100,82,33,100,100,52,44","76,100,81,0,92,8,100,44,68,36","9,50,22,0,80,3,55,99,15,31","51,75,43,100,85,0,27,72,46,34","23,100,64,100,80,0,100,100,100,44","62,100,84,100,82,12,20,81,64,43","57,100,89,100,70,46,100,34,83,33","58,100,44,0,81,0,100,0,63,28","77,100,95,100,96,83,59,30,57,61","65,100,75,88,65,91,100,40,55,57","63,50,75,100,50,3,82,99,33,42","72,100,61,100,75,72,100,88,100,34","20,25,19,49,0,0,55,0,43,27","77,75,61,100,74,4,62,75,72,46","20,0,46,0,0,0,43,0,27,45","61,75,31,32,41,4,100,14,45,50","100,90,70,90,70,90","63,100,22,50,87,21,100,71,56,23","4,64,81,40,20,71","52,21,95,84,88,85,100,63,73,33,72,7,73,0,14,22,80,14,51,60,60,34,0,100,27,80,62,76,35,29,53,91,100,13,9,34,88,33,47,50,19,0,75,71,91,19,75,43,82,35,100,66,59,17,87,100,24,0,100,98,51,50","100,95,79,80,30,19","100,57,57,75,45,10","57,100,86,100,50,6,100,60,44,33","69,8,37,83,87,67,100,87,17,3,65,6,73,0,44,70,100,56,72,46,28,26,72,100,41,65,68,87,36,38,31,99,100,11,11,66,79,49,51,60,65,72,71,69,27,14,100,61,77,16,100,52,61,27,83,100,27,0,100,10,64,100","72,100,87,100,79,38,86,100,68,58","30,50,80,100,43,3,43,0,83,35","66,100,56,0,83,0,100,76,9,51","74,100,52,50,78,3,57,80,47,59","69,50,17,100,70,0,0,100,0,39","2,0,55,0,31,0,100,0,66,46","72,100,93,100,72,8,38,90,39,22","55,50,83,0,94,1,23,38,53,32","10,0,23,0,0,0,28,0,50,28"
"Organize a mafia","92,93,39,85,64,90,85,100,0,100,71","91,93,80,90,63,91,83,74,100,0,53","93,82,80,95,73,44,73,96,51,0,45","79,25,0,13,29,60,90","95,75,80,95,84,30,86,93,100,65,42","89,82,61,70,51,83,96,96,74,48,46","94,92,97,100,71,100,99,65,100,100,65","90,97,59,85,68,94,86,93,100,0,81","24,81,40,65,75,87,91,95,50,0,30","28,96,90,80,71,77,89,87,50,100,36","93,55,78,95,63,35,72,73,100,100,32","97,91,93,95,94,100,95,90,100,100,33","82,46,70,80,62,92,77,73,100,50,33","82,89,66,90,67,75,91,84,0,0,80","92,93,94,85,87,100,92,88,56,75,49","6,45,83,85,56,88,91,98,50,50,63","77,100,78,100,47,14,88,94,9,100,59","99,79,79,100,56,88,84,92,55,0,45","99,90,96,95,66,87,77,89,61,50,47","90,77,94,95,75,90,64,80,0,0,50","96,71,94,85,78,83,91,95,100,100,76","27,32,54,0,0,7,13,14,0,0,54","3,60,70,5,65,92,62,10,0,0,60","7,58,81,70,0","75,43,58,85,84,29,62,48,0,0,35","17,54,88,20,0","54,67,100,0,100","100,100,88,75,100","100,100,47,80,100","82,84,93,95,50,61,65,76,50,75,67","68,65,100,62,100","43,63,64,95,70,62,67,68,0,0,57","95,73,97,85,72,90,98,82,54,86,48","81,63,20,5,32,93,77,36,84,50,31","78,64,67,25,53,91,94,98,100,100,42","79,81,59,85,67,88,68,86,0,100,39","4,63,19,0,41,16,62,5,0,0,75","82,36,59,90,74,97,43,79,0,69,42","87,100,96,95,100,99,100,92,55,100,65","79,80,94,95,100,79,94,90,50,100,80"
